file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
apple, 0, 6, 0.7539897448905918, 79, 30, 0.9285714285714287, 0.800729756559285
apple, 1, 6, 0.3489672009764965, 84, 27, 0.7450980392156863, 0.8165410500481837
apple, 2, 3, 0.14404421674841494, 54, 15, 0.59375, 0.4246265030345013
apple, 3, 6, 1.713743416785429, 52, 41, 0.9156626506024097, 0.8461238536888022
apple, 4, 5, 1.6667211372094035, 91, 13, 0.7450980392156863, 0.7753983484486522
apple, 5, 6, 0.6116835325564716, 18, 40, 0.9285714285714287, 0.800729756559285
apple, 6, 4, 3.8736457869675998, 54, 43, 0.628099173553719, 0.6835690560337981
apple, 7, 5, 1.8833893131844226, 50, 32, 0.9156626506024097, 0.8383082182962639
apple, 8, 5, 0.5679876646832873, 37, 48, 0.3140495867768595, 0.5943213946679917
apple, 9, 3, 1.7466486922950355, 49, 25, 0.9156626506024097, 0.8461238536888022
apple, 10, 5, 2.057877648383451, 72, 8, 0.9156626506024097, 0.8383082182962639
apple, 11, 6, 0.6312488692266683, 21, 25, 0.9285714285714287, 0.800729756559285
apple, 12, 3, 1.4241432371072307, 40, 38, 0.9156626506024097, 0.8461238536888022
apple, 13, 6, 3.895396201117177, 10, 44, 0.9156626506024097, 0.8461238536888022
apple, 14, 6, 3.80223462934675, 14, 14, 0.9156626506024097, 0.8461238536888022
apple, 15, 6, 0.5453867399040447, 33, 30, 0.7450980392156863, 0.8165410500481837
apple, 16, 3, 0.46033968468834907, 51, 28, 0.7450980392156863, 0.8165410500481837
apple, 17, 3, 0.5085944692990676, 18, 29, 0.7450980392156863, 0.8165410500481837
apple, 18, 3, 0.7175400014855156, 59, 47, 0.9285714285714287, 0.800729756559285
apple, 19, 3, 0.6404569415296681, 95, 37, 0.9285714285714287, 0.800729756559285
apple, 20, 6, 3.941412659192677, 46, 41, 0.9156626506024097, 0.8461238536888022
apple, 21, 6, 1.0988271970617265, 50, 18, 0.45783132530120485, 0.6511109663083603
apple, 22, 3, 0.6559822862881715, 94, 25, 0.9285714285714287, 0.800729756559285
apple, 23, 3, 3.6005341579773464, 44, 33, 0.9156626506024097, 0.8461238536888022
apple, 24, 3, 0.5853075159391041, 19, 30, 0.7450980392156863, 0.8165410500481837
apple, 25, 6, 0.7241291303091325, 99, 35, 0.9285714285714287, 0.800729756559285
apple, 26, 3, 1.1638646201894136, 15, 27, 0.9156626506024097, 0.8461238536888022
apple, 27, 3, 1.0645082412616733, 70, 30, 0.7450980392156863, 0.8165410500481837
apple, 28, 5, 0.27798509916641523, 90, 15, 0.59375, 0.4246265030345013
apple, 29, 6, 0.4791117002345058, 89, 35, 0.9285714285714287, 0.800729756559285
apple, 30, 6, 0.595369865130249, 85, 36, 0.9285714285714287, 0.800729756559285
apple, 31, 3, 1.3732144460010387, 51, 50, 0.9156626506024097, 0.8461238536888022
apple, 32, 4, 0.6336998514789567, 64, 25, 0.7450980392156863, 0.8130885476891058
apple, 33, 6, 0.5393656549810267, 93, 25, 0.7450980392156863, 0.8165410500481837
apple, 34, 3, 0.4323222191636475, 56, 28, 0.7450980392156863, 0.8165410500481837
apple, 35, 6, 1.3378222686846086, 42, 23, 0.9156626506024097, 0.8461238536888022
apple, 36, 3, 0.44303537695932554, 98, 29, 0.7450980392156863, 0.8165410500481837
apple, 37, 3, 1.4111576483996906, 47, 26, 0.7450980392156863, 0.8165410500481837
apple, 38, 6, 3.9996131764311484, 27, 11, 0.9156626506024097, 0.8461238536888022
apple, 39, 3, 1.062378973863745, 100, 15, 0.4210526315789474, 0.7512921351302213
