file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
apple, 0, 6, 1.3783599226510799, 47, 15, 0.9285714285714287, 0.7948180228548158
apple, 1, 5, 2.307394400100574, 17, 38, 0.9285714285714287, 0.7911942890186812
apple, 2, 6, 0.8775378489293215, 76, 22, 0.59375, 0.4246265030345013
apple, 3, 6, 1.0594126856690864, 52, 29, 0.9285714285714287, 0.7948180228548158
apple, 4, 3, 1.3953843007149203, 89, 39, 0.9285714285714287, 0.7948180228548158
apple, 5, 4, 1.4069539045699153, 56, 12, 0.9285714285714287, 0.7920426933898869
apple, 6, 5, 3.5420010594659197, 22, 25, 0.7619047619047619, 0.6378003168208017
apple, 7, 3, 1.317819901877102, 54, 4, 0.9411764705882354, 0.7564928439684977
apple, 8, 4, 3.114469350654798, 57, 5, 0.45783132530120485, 0.4167750600775351
apple, 9, 3, 1.1325605768236366, 77, 9, 0.9285714285714287, 0.7948180228548158
apple, 10, 3, 1.7128977173808944, 42, 39, 0.9411764705882354, 0.7564928439684977
apple, 11, 5, 1.222578454594603, 41, 12, 0.9285714285714287, 0.7911942890186812
apple, 12, 3, 1.0176914862795616, 16, 50, 0.9285714285714287, 0.7948180228548158
apple, 13, 3, 1.099657540648114, 63, 37, 0.9285714285714287, 0.7948180228548158
apple, 14, 4, 1.0079441909713172, 80, 34, 0.9285714285714287, 0.7920426933898869
apple, 15, 5, 1.437756870755074, 64, 48, 0.9285714285714287, 0.7911942890186812
apple, 16, 6, 1.30123632075045, 17, 30, 0.9285714285714287, 0.7948180228548158
apple, 17, 5, 1.3864053659206104, 35, 9, 0.9285714285714287, 0.7911942890186812
apple, 18, 5, 1.5785492219451296, 66, 28, 0.9285714285714287, 0.7911942890186812
apple, 19, 5, 1.9808433410712352, 12, 14, 0.9285714285714287, 0.7911942890186812
apple, 20, 3, 1.6396411114153655, 51, 30, 0.9285714285714287, 0.7948180228548158
apple, 21, 3, 1.0407335509217694, 37, 33, 0.9411764705882354, 0.6648165134718191
apple, 22, 5, 1.0555262918895638, 46, 38, 0.9285714285714287, 0.7911942890186812
apple, 23, 6, 1.2646287388530069, 94, 15, 0.9285714285714287, 0.7948180228548158
apple, 24, 6, 2.1244772473290063, 73, 13, 0.9285714285714287, 0.7948180228548158
apple, 25, 6, 1.1090657224266476, 18, 46, 0.9285714285714287, 0.7948180228548158
apple, 26, 6, 1.0136388495366462, 83, 32, 0.9285714285714287, 0.7948180228548158
apple, 27, 6, 1.1395178532324552, 81, 46, 0.9285714285714287, 0.7948180228548158
apple, 28, 5, 1.1597054692799738, 86, 44, 0.59375, 0.4246265030345013
apple, 29, 4, 0.8715473451506096, 60, 41, 0.9285714285714287, 0.7920426933898869
apple, 30, 4, 1.4031289530068929, 42, 18, 0.9285714285714287, 0.7920426933898869
apple, 31, 5, 0.9915494538579315, 72, 48, 0.9285714285714287, 0.7911942890186812
apple, 32, 4, 1.402636219688257, 80, 47, 0.9285714285714287, 0.7920426933898869
apple, 33, 6, 0.6116375506917583, 37, 29, 0.9285714285714287, 0.800729756559285
apple, 34, 3, 0.722383514498914, 33, 25, 0.9285714285714287, 0.7948180228548158
apple, 35, 5, 1.0434789977467105, 48, 39, 0.9285714285714287, 0.7911942890186812
apple, 36, 3, 1.3484765530133038, 75, 5, 0.9285714285714287, 0.7948180228548158
apple, 37, 5, 1.3127532578041388, 37, 32, 0.9411764705882354, 0.7539573296996178
apple, 38, 3, 1.4950980984414513, 46, 42, 0.9411764705882354, 0.7564928439684977
apple, 39, 3, 1.2164966661854377, 89, 11, 0.8041237113402063, 0.7245812263464614
