file,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size,f1,cover
apple,0,3,0.7320801679315753,21,47,0.9285714285714287,0.800729756559285
apple,1,3,0.5534920684216413,77,47,0.9285714285714287,0.800729756559285
apple,2,4,0.12529828420177927,27,4,0.59375,0.4246265030345013
apple,3,3,1.7514748531921271,52,30,0.9156626506024097,0.8461238536888022
apple,4,3,1.7281014950696072,10,47,0.9285714285714287,0.7948180228548158
apple,5,3,0.620730544108225,25,43,0.9285714285714287,0.800729756559285
apple,6,5,3.284828172094598,17,20,0.7619047619047619,0.6394080338626024
apple,7,3,1.6936456756635456,25,34,0.9156626506024097,0.8461238536888022
apple,8,5,0.9550143962746253,73,25,0.4210526315789474,0.5653300363782557
apple,9,6,1.6093753521692473,22,36,0.9156626506024097,0.8461238536888022
apple,10,3,3.139910919392673,21,38,0.9156626506024097,0.8461238536888022
apple,11,3,0.6157679197473332,24,42,0.9285714285714287,0.800729756559285
apple,12,6,1.4114802634647658,39,34,0.9156626506024097,0.8461238536888022
apple,13,6,3.86760244997916,51,41,0.9156626506024097,0.8461238536888022
apple,14,6,3.8834470789233397,15,24,0.9156626506024097,0.8461238536888022
apple,15,3,0.596623675590357,16,42,0.9285714285714287,0.800729756559285
apple,16,3,0.5254557035337999,71,37,0.9285714285714287,0.800729756559285
apple,17,6,0.45870941733755155,66,39,0.9285714285714287,0.800729756559285
apple,18,6,0.7320828515303459,86,30,0.9285714285714287,0.800729756559285
apple,19,6,0.6172542557377478,18,33,0.9285714285714287,0.800729756559285
apple,20,6,3.1934195001897243,35,43,0.9156626506024097,0.8461238536888022
apple,21,3,1.1057426711689404,53,20,0.9156626506024097,0.8461238536888022
apple,22,6,3.9672005950629425,50,30,0.9156626506024097,0.8461238536888022
apple,23,3,3.6522378797540216,54,40,0.9156626506024097,0.8461238536888022
apple,24,6,0.44461033219860957,69,41,0.9285714285714287,0.800729756559285
apple,25,3,0.5768007518635798,51,48,0.9285714285714287,0.800729756559285
apple,26,6,1.2365012483005582,47,17,0.9156626506024097,0.8461238536888022
apple,27,3,0.6134097030871966,99,41,0.9285714285714287,0.800729756559285
apple,28,3,1.5583254511425,97,46,0.59375,0.4246265030345013
apple,29,3,0.3448020528088189,38,36,0.9285714285714287,0.800729756559285
apple,30,6,0.5908788391175565,22,32,0.9285714285714287,0.800729756559285
apple,31,6,1.3557772559541197,52,28,0.9156626506024097,0.8461238536888022
apple,32,3,0.5181765065944574,24,48,0.9285714285714287,0.800729756559285
apple,33,3,0.42413130050637676,67,46,0.9285714285714287,0.800729756559285
apple,34,6,0.5685499069900385,40,31,0.9285714285714287,0.800729756559285
apple,35,3,1.3403060374240818,36,27,0.9156626506024097,0.8461238536888022
apple,36,3,0.5339248424920706,75,44,0.9285714285714287,0.800729756559285
apple,37,3,2.4665331646855417,41,15,0.9285714285714287,0.7948180228548158
apple,38,6,3.7579339595875356,50,36,0.9156626506024097,0.8461238536888022
apple,39,3,1.4061460035728033,68,6,0.9285714285714287,0.7948180228548158
