file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
bank, 0, 3, 2.3480723587173173, 65, 28, 1.0, 1.0
bank, 1, 4, 2.72822330772053, 86, 43, 1.0, 1.0
bank, 2, 5, 0.11687820814730879, 89, 36, 1.0, 1.0
bank, 3, 4, 2.8604881560765665, 72, 43, 1.0, 1.0
bank, 4, 5, 3.277415470450448, 69, 34, 1.0, 1.0
bank, 5, 3, 2.820255594176635, 75, 40, 1.0, 1.0
bank, 6, 4, 3.9603583936547206, 78, 29, 1.0, 1.0
bank, 7, 5, 3.906257826778363, 59, 33, 1.0, 1.0
bank, 9, 4, 2.7473585006198196, 38, 36, 1.0, 1.0
bank, 10, 4, 3.5019406830987596, 59, 31, 1.0, 1.0
bank, 11, 6, 3.5543602839597814, 92, 21, 1.0, 1.0
bank, 12, 5, 0.3341367031654636, 96, 26, 1.0, 1.0
bank, 13, 5, 3.0006552011032896, 90, 39, 1.0, 1.0
bank, 14, 6, 3.5604502227825883, 67, 24, 1.0, 1.0
bank, 15, 5, 3.664369320431827, 96, 35, 1.0, 1.0
bank, 16, 4, 2.858068855582307, 88, 35, 1.0, 1.0
bank, 17, 3, 3.9190436425966406, 95, 32, 1.0, 1.0
bank, 18, 6, 3.5232975611045356, 30, 36, 1.0, 1.0
bank, 19, 4, 3.8425543779579243, 82, 38, 1.0, 1.0
bank, 20, 3, 2.0991707975455003, 72, 44, 1.0, 1.0
bank, 21, 3, 3.5888048868855096, 98, 49, 1.0, 1.0
bank, 22, 5, 2.1676755268977272, 66, 25, 1.0, 1.0
bank, 23, 3, 2.2010782006968785, 75, 33, 1.0, 1.0
bank, 24, 5, 2.778838335301621, 90, 23, 1.0, 1.0
bank, 25, 5, 1.6395777191655334, 61, 33, 1.0, 1.0
bank, 26, 4, 3.683674515730921, 84, 50, 1.0, 1.0
bank, 27, 5, 3.358155681227342, 96, 24, 1.0, 1.0
bank, 28, 3, 0.4520944610987655, 27, 21, 0.6666666666666666, 0.9965576592082617
bank, 29, 3, 2.6778646934955277, 73, 36, 1.0, 1.0
bank, 30, 4, 3.842591954376513, 58, 44, 1.0, 1.0
bank, 31, 5, 2.626778928971211, 54, 25, 1.0, 1.0
bank, 32, 5, 2.3911685828698954, 66, 24, 1.0, 1.0
bank, 33, 5, 3.302924978195286, 56, 27, 1.0, 1.0
bank, 34, 6, 3.587925422514952, 73, 27, 1.0, 1.0
bank, 35, 4, 2.5035740818058794, 58, 17, 1.0, 1.0
bank, 36, 6, 3.848418341831589, 64, 42, 1.0, 1.0
bank, 37, 5, 2.800067219248903, 58, 39, 1.0, 1.0
bank, 38, 4, 1.9881718945546603, 86, 39, 1.0, 1.0
bank, 39, 3, 2.0788103578249673, 91, 22, 1.0, 1.0
