file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
bank, 0, 6, 3.139801315246896, 68, 24, 1.0, 1.0
bank, 1, 5, 3.074521823844598, 93, 32, 1.0, 1.0
bank, 2, 4, 0.47591664000403155, 24, 45, 1.0, 1.0
bank, 3, 6, 3.9313011867907113, 61, 20, 1.0, 1.0
bank, 4, 4, 3.4759707721854807, 71, 44, 1.0, 1.0
bank, 5, 5, 3.783001603852216, 18, 45, 1.0, 1.0
bank, 6, 3, 3.0420995455439828, 75, 31, 1.0, 1.0
bank, 7, 3, 3.365159637437271, 72, 48, 1.0, 1.0
bank, 9, 5, 3.840324031759546, 31, 39, 1.0, 1.0
bank, 10, 5, 2.7276516779511057, 55, 34, 1.0, 1.0
bank, 11, 5, 3.7445940150168187, 49, 43, 1.0, 1.0
bank, 12, 6, 0.2887980941343076, 41, 10, 1.0, 1.0
bank, 13, 4, 3.6084100705796613, 72, 42, 1.0, 1.0
bank, 14, 4, 2.9179369023611703, 86, 48, 1.0, 1.0
bank, 15, 4, 3.169799927658467, 94, 30, 1.0, 1.0
bank, 16, 3, 3.476926377813255, 64, 47, 1.0, 1.0
bank, 17, 3, 3.5625223798772723, 93, 42, 1.0, 1.0
bank, 18, 6, 1.9601365766328829, 50, 41, 1.0, 1.0
bank, 19, 6, 3.7410412233179953, 77, 27, 1.0, 1.0
bank, 20, 6, 2.2899870942399874, 82, 23, 1.0, 1.0
bank, 21, 4, 1.6776524016770031, 49, 21, 1.0, 1.0
bank, 22, 3, 3.1288121124378963, 34, 36, 1.0, 1.0
bank, 23, 4, 2.33893836534622, 67, 30, 1.0, 1.0
bank, 24, 3, 3.5156157615977013, 93, 43, 1.0, 1.0
bank, 25, 5, 3.540883152570084, 61, 28, 1.0, 1.0
bank, 26, 5, 2.81632981608605, 69, 14, 1.0, 1.0
bank, 27, 4, 3.6672883381097616, 59, 24, 1.0, 1.0
bank, 28, 5, 0.7101287200713615, 89, 7, 1.0, 1.0
bank, 29, 5, 2.4949094145412807, 52, 35, 1.0, 1.0
bank, 30, 5, 3.664209406977187, 29, 47, 1.0, 1.0
bank, 31, 4, 2.9177074242725034, 79, 44, 1.0, 1.0
bank, 32, 5, 3.521133895246852, 90, 32, 1.0, 1.0
bank, 33, 5, 3.1381170318827487, 89, 46, 1.0, 1.0
bank, 34, 6, 3.117636351794144, 91, 47, 1.0, 1.0
bank, 35, 4, 1.8622622044422064, 55, 49, 1.0, 1.0
bank, 36, 4, 2.9006410254910815, 54, 26, 1.0, 1.0
bank, 37, 6, 3.028073081946601, 43, 49, 1.0, 1.0
bank, 38, 5, 2.643276509093181, 55, 28, 1.0, 1.0
bank, 39, 4, 3.753424814196687, 50, 31, 1.0, 1.0
