file,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size,f1,cover
bank,0,5,2.562784587218061,98,49,1.0,1.0
bank,1,4,3.014583556212869,86,44,1.0,1.0
bank,2,5,0.30772116736325894,35,8,1.0,1.0
bank,3,4,1.9456765839401327,71,26,1.0,1.0
bank,4,4,2.7460174274876135,23,35,1.0,1.0
bank,5,4,2.207439394635791,22,44,1.0,1.0
bank,6,3,2.391609329898951,35,26,1.0,1.0
bank,7,6,2.77555583845231,58,44,1.0,1.0
bank,9,4,2.63292480264377,53,29,1.0,1.0
bank,10,6,2.7207813927194167,50,30,1.0,1.0
bank,11,4,3.434506689556821,58,24,1.0,1.0
bank,12,4,0.46175297348988875,65,22,1.0,1.0
bank,13,5,2.7773954968576375,21,41,1.0,1.0
bank,14,6,2.3454291504430267,72,36,1.0,1.0
bank,15,3,3.9186876139769127,13,47,1.0,1.0
bank,16,3,3.162353655121332,50,46,1.0,1.0
bank,17,5,3.5562317196277093,91,36,1.0,1.0
bank,18,4,2.1542738575148164,84,40,1.0,1.0
bank,19,4,2.0768768356196605,93,23,1.0,1.0
bank,20,3,3.656555021878815,30,48,1.0,1.0
bank,21,5,2.3973398817501526,94,24,1.0,1.0
bank,22,3,1.8789125357136602,78,25,1.0,1.0
bank,23,4,3.790991042216005,12,24,1.0,1.0
bank,24,6,3.881280069794903,63,30,1.0,1.0
bank,25,3,2.3511773677443437,33,46,1.0,1.0
bank,26,4,3.0651709959606945,98,49,1.0,1.0
bank,27,5,2.9730232202516165,57,25,1.0,1.0
bank,28,4,0.3180419387611998,57,8,1.0,1.0
bank,29,6,3.042165053306778,79,29,1.0,1.0
bank,30,6,3.7423023684434935,76,37,1.0,1.0
bank,31,4,3.559517721361495,72,25,1.0,1.0
bank,32,3,3.4454748314310524,62,49,1.0,1.0
bank,33,5,3.1614861793549807,82,47,1.0,1.0
bank,34,5,2.45539852699977,92,29,1.0,1.0
bank,35,4,2.7527502024214336,51,25,1.0,1.0
bank,36,6,3.6633133895051544,75,20,1.0,1.0
bank,37,5,3.1566076912787056,95,34,1.0,1.0
bank,38,6,3.9539725827980092,68,47,1.0,1.0
bank,39,3,2.26344917448784,35,32,1.0,1.0
