file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
bee_waggle_6, 0, 5, 2.6054040515925196, 97, 31, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 1, 5, 3.9808040307523407, 45, 39, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 2, 5, 2.0994373020985115, 83, 37, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 3, 6, 3.0034072849553595, 91, 18, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 4, 3, 3.3059666858448042, 62, 9, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 5, 6, 3.803560241332986, 90, 8, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 6, 5, 1.72153245305719, 85, 34, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 7, 6, 2.3281374737123746, 43, 50, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 8, 4, 3.191604174510546, 24, 41, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 9, 4, 3.651800770575563, 38, 16, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 10, 6, 3.3679352950515193, 18, 25, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 11, 5, 3.8693313897813733, 84, 46, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 12, 4, 3.499760985184521, 78, 9, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 13, 3, 3.1624191629456093, 93, 44, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 14, 4, 1.455425190112969, 57, 28, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 15, 4, 0.6514719674027334, 65, 43, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 16, 6, 0.5546571717688645, 85, 30, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 17, 5, 1.5027722509889052, 55, 14, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 18, 5, 3.4577887006995196, 70, 48, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 19, 5, 3.0227798745515067, 92, 32, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 20, 5, 3.4963001413764205, 66, 33, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 21, 5, 3.679926142841975, 70, 36, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 22, 4, 3.582524500799724, 47, 30, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 23, 3, 1.6413139533195547, 70, 33, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 24, 4, 2.1956225361953967, 22, 44, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 25, 4, 3.165874912279477, 53, 4, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 26, 6, 2.530051157482308, 94, 7, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 27, 5, 2.220292929093649, 87, 34, 0.48148148148148145, 0.7695482919862714
bee_waggle_6, 28, 5, 0.6988715269197014, 11, 42, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 29, 5, 3.5433646409795956, 38, 33, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 30, 4, 3.494922799041513, 46, 6, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 31, 4, 3.4430812779204167, 91, 30, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 32, 4, 3.5437996289913762, 81, 49, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 33, 3, 2.2650044269865246, 68, 35, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 34, 5, 3.1736457605767305, 66, 27, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 35, 4, 2.7737820502554054, 69, 21, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 36, 3, 3.524226859824494, 84, 13, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 37, 5, 2.407087724160524, 60, 45, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 38, 4, 3.5095497750576192, 33, 50, 0.9285714285714287, 0.8911284212456287
bee_waggle_6, 39, 5, 2.499238157282651, 78, 22, 0.9285714285714287, 0.8911284212456287
