file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
businv, 0, 4, 2.5307248507772004, 62, 10, 0.5588235294117647, 0.7520740741724483
businv, 1, 3, 3.2729463750456347, 71, 10, 0.4903225806451614, 0.7356040692241267
businv, 2, 4, 1.0046678411876337, 38, 21, 0.4045911047345767, 0.4644444444444445
businv, 3, 6, 2.650846712610564, 86, 9, 0.6495726495726496, 0.6430140485058325
businv, 4, 3, 2.3535688193753326, 63, 24, 0.6495726495726496, 0.7607607538769676
businv, 5, 3, 2.313881829118283, 61, 28, 0.6495726495726496, 0.7712743560549842
businv, 6, 3, 3.203078477441685, 54, 12, 0.5588235294117647, 0.7680665203082605
businv, 7, 3, 2.1919683178221474, 65, 36, 0.6495726495726496, 0.7607607538769676
businv, 9, 3, 2.3543946107622125, 63, 49, 0.6495726495726496, 0.7607607538769676
businv, 10, 4, 3.192942598672237, 69, 49, 0.3125, 0.7223611400177876
businv, 11, 4, 2.521906699548343, 62, 12, 0.5588235294117647, 0.7520740741724483
businv, 12, 5, 0.8365842151588828, 62, 37, 0.3125, 0.7231679258961733
businv, 13, 3, 2.5830698077776866, 61, 47, 0.5588235294117647, 0.735711032718599
businv, 14, 4, 2.025410406226492, 68, 17, 0.5588235294117647, 0.7326921986590935
businv, 15, 3, 3.2708997353312914, 70, 10, 0.4903225806451614, 0.7356040692241267
businv, 16, 3, 3.9911218308294765, 67, 12, 0.5588235294117647, 0.7381588928309697
businv, 17, 3, 3.9994057205597477, 69, 15, 0.5588235294117647, 0.7381588928309697
businv, 18, 3, 2.4677371469325946, 69, 23, 0.5588235294117647, 0.7402805153242598
businv, 19, 6, 2.2734187318055596, 70, 39, 0.5588235294117647, 0.7319305656106736
businv, 20, 3, 2.5695092821557393, 61, 26, 0.6495726495726496, 0.7607607538769676
businv, 21, 3, 1.1760599233658304, 33, 30, 0.3703703703703703, 0.7172740031414578
businv, 22, 3, 2.41968935151277, 66, 26, 0.6495726495726496, 0.7607607538769676
businv, 23, 3, 3.962314456465016, 36, 24, 0.3125, 0.678967279507867
businv, 24, 3, 3.162167996004711, 75, 48, 0.5588235294117647, 0.7235824929721355
businv, 25, 6, 2.6392702775536447, 63, 11, 0.5588235294117647, 0.7442653069506425
businv, 26, 3, 1.0400158861148028, 73, 9, 0.3125, 0.7057565382554516
businv, 27, 3, 3.567400600674154, 67, 38, 0.5588235294117647, 0.735711032718599
businv, 28, 6, 1.0538923762242658, 65, 34, 0.6103896103896105, 0.5722951480904201
businv, 29, 5, 3.656175743794186, 71, 37, 0.3125, 0.703413521008678
businv, 30, 3, 1.4726627595654576, 47, 39, 0.918918918918919, 0.8240554933742349
businv, 31, 5, 2.1392156853133324, 61, 30, 0.3125, 0.7231679258961733
businv, 32, 3, 3.9968313353932423, 69, 13, 0.5588235294117647, 0.7381588928309697
businv, 33, 3, 3.417309727445757, 67, 19, 0.5588235294117647, 0.723615657059088
businv, 34, 3, 3.9987545634784363, 67, 13, 0.5588235294117647, 0.7381588928309697
businv, 35, 3, 1.1862403487878501, 61, 7, 0.5588235294117647, 0.735711032718599
businv, 36, 5, 2.457072149124956, 72, 32, 0.53125, 0.6904467475569296
businv, 37, 5, 2.4467107552161043, 80, 34, 0.3125, 0.703413521008678
businv, 38, 5, 2.4628955212537478, 63, 43, 0.3125, 0.7231679258961733
businv, 39, 3, 2.0729448007022326, 66, 49, 0.6495726495726496, 0.7607607538769676
