file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
children_per_woman, 0, 5, 2.6660303288140104, 100, 9, 0.5065789473684211, 0.811063044383183
children_per_woman, 1, 5, 3.9893777229058873, 99, 48, 0.5800376647834274, 0.7828308314220942
children_per_woman, 2, 3, 0.9652728480448322, 72, 6, 0.6784140969162996, 0.8075687856959256
children_per_woman, 3, 6, 3.999734818083141, 98, 3, 0.5800376647834274, 0.8453774039473976
children_per_woman, 4, 6, 3.9985076909629886, 99, 10, 0.5800376647834274, 0.8453774039473976
children_per_woman, 5, 6, 3.959687645838591, 99, 6, 0.6732673267326732, 0.831318111602514
children_per_woman, 6, 6, 3.9886867300602056, 100, 20, 0.5800376647834274, 0.8453774039473976
children_per_woman, 7, 5, 2.942661717284002, 100, 9, 0.5065789473684211, 0.811063044383183
children_per_woman, 9, 5, 2.938667660407922, 99, 13, 0.5065789473684211, 0.811063044383183
children_per_woman, 10, 3, 3.592896950552367, 100, 19, 0.5800376647834274, 0.7873259641213318
children_per_woman, 11, 3, 2.0277010578512704, 92, 7, 0.7045871559633028, 0.8458201234359448
children_per_woman, 12, 6, 0.8798473538691634, 92, 40, 0.5800376647834274, 0.8702045466907998
children_per_woman, 13, 5, 2.733024360722668, 100, 14, 0.5065789473684211, 0.811063044383183
children_per_woman, 14, 6, 2.83622809429363, 100, 3, 0.5065789473684211, 0.8502709918735242
children_per_woman, 15, 3, 3.9635759915180904, 100, 38, 0.5800376647834274, 0.7873259641213318
children_per_woman, 16, 3, 3.6611488433957775, 100, 13, 0.5800376647834274, 0.7873259641213318
children_per_woman, 17, 5, 3.8605387830680993, 96, 43, 0.5800376647834274, 0.7828308314220942
children_per_woman, 18, 5, 3.5542727259570617, 40, 36, 0.5074626865671642, 0.42910563901060694
children_per_woman, 19, 4, 3.215973546699726, 94, 31, 0.5074626865671642, 0.42910563901060694
children_per_woman, 20, 5, 2.89544940880912, 95, 11, 0.5065789473684211, 0.811063044383183
children_per_woman, 21, 5, 2.4865322728441615, 91, 39, 0.5800376647834274, 0.8016296106993781
children_per_woman, 22, 6, 3.7711893728644545, 98, 3, 0.5800376647834274, 0.8453774039473976
children_per_woman, 23, 5, 2.4115014864710433, 97, 12, 0.5065789473684211, 0.811063044383183
children_per_woman, 24, 5, 3.6468032681605367, 96, 35, 0.5800376647834274, 0.7828308314220942
children_per_woman, 25, 6, 2.8960013381850422, 100, 6, 0.5065789473684211, 0.8502709918735242
children_per_woman, 26, 4, 1.0954532170558442, 20, 41, 0.8372093023255813, 0.8643670222671037
children_per_woman, 27, 3, 3.838687210835641, 100, 29, 0.5800376647834274, 0.7873259641213318
children_per_woman, 28, 6, 0.8639911994371536, 100, 3, 0.5800376647834274, 0.8966212934729952
children_per_woman, 29, 3, 3.4942990483835183, 100, 24, 0.5800376647834274, 0.7873259641213318
children_per_woman, 30, 5, 3.985425442806075, 90, 7, 0.8095238095238095, 0.8569639662662919
children_per_woman, 31, 6, 3.8313506610977615, 100, 13, 0.5800376647834274, 0.8453774039473976
children_per_woman, 32, 3, 3.62249572522955, 100, 45, 0.5800376647834274, 0.7873259641213318
children_per_woman, 33, 5, 3.982748774186486, 98, 43, 0.5800376647834274, 0.7828308314220942
children_per_woman, 34, 5, 3.800458101085165, 99, 18, 0.5800376647834274, 0.7828308314220942
children_per_woman, 35, 6, 1.023919848844481, 58, 42, 0.5800376647834274, 0.8702045466907998
children_per_woman, 36, 5, 3.9896665860303226, 96, 30, 0.5800376647834274, 0.7828308314220942
children_per_woman, 37, 5, 3.6420005610121495, 97, 48, 0.5800376647834274, 0.7828308314220942
children_per_woman, 38, 5, 2.946854344250702, 100, 10, 0.5065789473684211, 0.811063044383183
children_per_woman, 39, 6, 3.8231821051879598, 98, 5, 0.5800376647834274, 0.8453774039473976
