file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
children_per_woman, 0, 4, 3.3094331794516165, 28, 18, 0.6807692307692307, 0.6192315788510292
children_per_woman, 1, 6, 0.7237721571906954, 84, 48, 0.6545454545454547, 0.5556168866458064
children_per_woman, 2, 6, 0.9797169270775798, 93, 47, 0.6784140969162996, 0.8075687856959256
children_per_woman, 3, 4, 1.7136404379366124, 79, 48, 0.6732673267326732, 0.6784941913367333
children_per_woman, 4, 3, 2.3930532598402285, 47, 29, 0.7983367983367983, 0.6963184623063766
children_per_woman, 5, 3, 1.4793342672211842, 34, 31, 0.7045871559633028, 0.6316199050496798
children_per_woman, 6, 6, 3.229932866332725, 50, 18, 0.6368286445012787, 0.6399364047688854
children_per_woman, 7, 4, 3.8743351744956414, 35, 35, 0.6203208556149732, 0.6773892187849121
children_per_woman, 9, 3, 2.1897994259547238, 50, 23, 0.7983367983367983, 0.691420569501507
children_per_woman, 10, 6, 3.9940789844549456, 93, 15, 0.6368286445012787, 0.7474256497391718
children_per_woman, 11, 4, 2.679615708939416, 44, 47, 0.6732673267326732, 0.6253380451573312
children_per_woman, 12, 4, 0.7294226746941488, 73, 22, 0.7341772151898733, 0.814070423419443
children_per_woman, 13, 4, 1.891100647317638, 18, 30, 0.6807692307692307, 0.6307161028893586
children_per_woman, 14, 6, 0.9658208669234085, 100, 45, 0.6545454545454547, 0.5556168866458064
children_per_woman, 15, 3, 3.8960189935657468, 20, 31, 0.7045871559633028, 0.621653127641042
children_per_woman, 16, 3, 3.2926361694732487, 61, 32, 0.7983367983367983, 0.7312876791360585
children_per_woman, 17, 6, 0.9259483199370142, 61, 44, 0.6545454545454547, 0.5556168866458064
children_per_woman, 18, 5, 2.3851665936320186, 56, 13, 0.5074626865671642, 0.42910563901060694
children_per_woman, 19, 6, 2.552102717683489, 11, 36, 0.5074626865671642, 0.42910563901060694
children_per_woman, 20, 4, 2.9005067989657394, 49, 47, 0.6203208556149732, 0.6633756621108381
children_per_woman, 21, 4, 2.3600710690625775, 42, 47, 0.6732673267326732, 0.6253380451573312
children_per_woman, 22, 4, 3.409818111760488, 19, 28, 0.6807692307692307, 0.6192315788510292
children_per_woman, 23, 3, 1.794663948663587, 71, 30, 0.7983367983367983, 0.7461523493495659
children_per_woman, 24, 3, 3.296347509638437, 67, 45, 0.6732673267326732, 0.671849673064308
children_per_woman, 25, 3, 2.17716854708735, 51, 34, 0.6732673267326732, 0.6319825634297564
children_per_woman, 26, 3, 1.007352465662928, 96, 32, 0.7983367983367983, 0.7811215661792479
children_per_woman, 27, 3, 1.4120902776235982, 85, 37, 0.6807692307692307, 0.6086940543600163
children_per_woman, 28, 4, 0.8183591348622266, 71, 35, 0.7341772151898733, 0.814070423419443
children_per_woman, 29, 3, 3.6990082170842036, 13, 30, 0.7045871559633028, 0.6265510204459115
children_per_woman, 30, 5, 3.686118605546455, 79, 18, 0.8095238095238095, 0.8569639662662919
children_per_woman, 31, 4, 1.6973388590322283, 71, 41, 0.6732673267326732, 0.6784941913367333
children_per_woman, 32, 3, 3.773057229902984, 32, 30, 0.7045871559633028, 0.621653127641042
children_per_woman, 33, 3, 3.3302414938415574, 73, 25, 0.7983367983367983, 0.7461523493495659
children_per_woman, 34, 3, 3.7932361421308096, 15, 31, 0.7045871559633028, 0.621653127641042
children_per_woman, 35, 3, 1.188499625719608, 54, 38, 0.8372093023255813, 0.8459637465757417
children_per_woman, 36, 3, 1.3908797490959166, 92, 38, 0.6807692307692307, 0.6086940543600163
children_per_woman, 37, 6, 0.9706917256990368, 82, 43, 0.6545454545454547, 0.5556168866458064
children_per_woman, 38, 3, 2.457986928945421, 47, 22, 0.7983367983367983, 0.6963184623063766
children_per_woman, 39, 3, 1.7655456314543825, 74, 29, 0.7983367983367983, 0.7461523493495659
