file,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size,f1,cover
construction,0,3,1.7286021961993177,96,9,1.0,0.7285509054828279
construction,1,3,2.365887285419131,95,8,1.0,0.7304317832257745
construction,2,3,1.0150730931569614,95,50,0.7500000000000001,0.7848210649848392
construction,3,3,1.7836760926633148,58,8,1.0,0.7285509054828279
construction,4,3,1.4994870791777297,77,7,1.0,0.7304317832257745
construction,5,5,1.751912857617123,78,10,0.9655172413793104,0.7329714414501434
construction,6,3,1.5334647839880975,94,22,0.9655172413793104,0.7348706546991288
construction,7,6,1.4333462741140044,79,12,1.0,0.7285509054828279
construction,9,3,1.5977168983997079,67,7,1.0,0.7304317832257745
construction,10,3,2.4550720354612987,68,9,1.0,0.7304317832257745
construction,11,3,1.6076150623511867,92,9,1.0,0.7304317832257745
construction,12,3,0.8815349376635226,90,12,1.0,0.7285509054828279
construction,13,4,1.4966986753091782,96,24,0.9655172413793104,0.7323446449767174
construction,14,3,1.6352691071233743,86,7,1.0,0.7304317832257745
construction,15,3,2.3815622448314135,89,7,1.0,0.7304317832257745
construction,16,3,2.2875148939577103,82,9,1.0,0.7304317832257745
construction,17,3,2.3764928439594857,82,7,1.0,0.7304317832257745
construction,18,3,3.9811833598250996,58,33,0.7499999999999999,0.666820422198679
construction,19,6,3.1638326924003852,68,38,0.7499999999999999,0.666820422198679
construction,20,3,1.5713449568453073,77,9,1.0,0.7304317832257745
construction,21,6,1.142752363713608,59,7,0.9285714285714286,0.7403286903434467
construction,22,3,2.0392149401762074,81,9,0.9655172413793104,0.7423619099541139
construction,23,6,1.6291589905661108,88,11,1.0,0.7285509054828279
construction,24,3,2.8676641776275087,83,9,1.0,0.7304317832257745
construction,25,6,1.609757879210708,92,12,1.0,0.7285509054828279
construction,26,6,1.0513050742580141,83,12,0.9655172413793104,0.7423619099541139
construction,27,3,2.5077963791102285,71,8,1.0,0.7304317832257745
construction,28,5,0.4381648739929611,50,7,0.6956521739130436,0.5746032369964917
construction,29,3,2.5602105367061814,94,7,1.0,0.7304317832257745
construction,30,3,1.4733412164337205,19,22,0.7499999999999999,0.6713532617589484
construction,31,3,1.5176732195275713,60,8,1.0,0.7304317832257745
construction,32,3,2.5720436933855955,91,9,1.0,0.7304317832257745
construction,33,3,2.2685240884345874,95,7,1.0,0.7304317832257745
construction,34,3,2.508621904258816,92,9,1.0,0.7304317832257745
construction,35,3,1.0833850043345485,100,10,1.0,0.7285509054828279
construction,36,3,2.2233132712191495,93,9,1.0,0.7304317832257745
construction,37,3,2.6069641326138377,70,9,1.0,0.7304317832257745
construction,38,6,1.7806684150143424,81,10,1.0,0.7285509054828279
construction,39,6,1.6356808431275258,70,11,1.0,0.7285509054828279
