file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
gdp_argentina, 0, 4, 1.8207699031179276, 51, 37, 0.8235294117647058, 0.737087043952887
gdp_argentina, 1, 4, 3.343601501063589, 57, 31, 0.8235294117647058, 0.737087043952887
gdp_argentina, 2, 6, 0.4792211178119502, 72, 44, 0.8235294117647058, 0.737087043952887
gdp_argentina, 3, 3, 3.2030011646360848, 83, 6, 0.8235294117647058, 0.737087043952887
gdp_argentina, 4, 5, 3.972483652353205, 74, 37, 0.8235294117647058, 0.737087043952887
gdp_argentina, 5, 4, 3.941603885152133, 86, 24, 0.8235294117647058, 0.737087043952887
gdp_argentina, 6, 4, 2.9563569556921276, 65, 43, 0.8235294117647058, 0.737087043952887
gdp_argentina, 7, 4, 2.317004341261039, 30, 16, 0.8235294117647058, 0.737087043952887
gdp_argentina, 9, 5, 1.7861270870965218, 54, 39, 0.8235294117647058, 0.737087043952887
gdp_argentina, 10, 5, 3.486807664593008, 47, 47, 0.8235294117647058, 0.737087043952887
gdp_argentina, 11, 5, 3.3715746885525535, 99, 17, 0.8235294117647058, 0.737087043952887
gdp_argentina, 12, 4, 0.4022153461200241, 90, 15, 0.8235294117647058, 0.737087043952887
gdp_argentina, 13, 4, 3.6890127274281572, 20, 44, 0.8235294117647058, 0.737087043952887
gdp_argentina, 14, 6, 3.885204605645329, 16, 30, 0.8235294117647058, 0.737087043952887
gdp_argentina, 15, 4, 2.8033228349453636, 94, 23, 0.8235294117647058, 0.737087043952887
gdp_argentina, 16, 4, 3.657313123183904, 89, 45, 0.8235294117647058, 0.737087043952887
gdp_argentina, 17, 3, 3.1158662881677404, 40, 49, 0.8235294117647058, 0.737087043952887
gdp_argentina, 18, 6, 2.4460954151004426, 95, 24, 0.8235294117647058, 0.737087043952887
gdp_argentina, 19, 4, 3.163268153046766, 65, 22, 0.8235294117647058, 0.737087043952887
gdp_argentina, 20, 4, 1.6123626253045744, 21, 49, 0.8235294117647058, 0.737087043952887
gdp_argentina, 21, 5, 2.396511390641773, 25, 12, 0.8235294117647058, 0.737087043952887
gdp_argentina, 22, 5, 2.466481873569405, 61, 29, 0.8235294117647058, 0.737087043952887
gdp_argentina, 23, 3, 2.084036702537455, 76, 36, 0.8235294117647058, 0.737087043952887
gdp_argentina, 24, 4, 3.13651836833672, 85, 46, 0.8235294117647058, 0.737087043952887
gdp_argentina, 25, 5, 3.9694157414280737, 70, 29, 0.8235294117647058, 0.737087043952887
gdp_argentina, 26, 5, 2.1358455285741313, 13, 32, 0.8235294117647058, 0.737087043952887
gdp_argentina, 27, 5, 3.909039313478481, 63, 24, 0.8235294117647058, 0.737087043952887
gdp_argentina, 28, 5, 0.7441548289220901, 75, 19, 0.8235294117647058, 0.737087043952887
gdp_argentina, 29, 3, 3.1141949278326577, 55, 20, 0.8235294117647058, 0.737087043952887
gdp_argentina, 30, 6, 3.680000161098104, 11, 31, 0.8235294117647058, 0.737087043952887
gdp_argentina, 31, 5, 3.012589421261647, 97, 19, 0.8235294117647058, 0.737087043952887
gdp_argentina, 32, 6, 2.9083258853166156, 66, 50, 0.8235294117647058, 0.737087043952887
gdp_argentina, 33, 5, 3.469244880207114, 17, 49, 0.8235294117647058, 0.737087043952887
gdp_argentina, 34, 4, 3.4879135180999574, 68, 17, 0.8235294117647058, 0.737087043952887
gdp_argentina, 35, 6, 1.7239791273765896, 39, 25, 0.8235294117647058, 0.737087043952887
gdp_argentina, 36, 5, 2.570399208143143, 90, 25, 0.8235294117647058, 0.737087043952887
gdp_argentina, 37, 3, 1.5720542427485418, 95, 47, 0.8235294117647058, 0.737087043952887
gdp_argentina, 38, 4, 1.1347669531738847, 85, 24, 0.8235294117647058, 0.737087043952887
gdp_argentina, 39, 5, 2.653256285753572, 63, 47, 0.8235294117647058, 0.737087043952887
