file,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size,f1,cover
homeruns,0,3,1.9692797219469482,31,6,0.9473684210526316,0.6921555845284659
homeruns,1,6,3.117184335563965,88,18,0.8732394366197184,0.7027858951879993
homeruns,2,3,1.0863195390873068,91,15,0.9011857707509882,0.42334307992202724
homeruns,3,5,3.6101273225809876,10,13,0.8732394366197184,0.6440316224214528
homeruns,4,6,3.200082958754847,18,18,0.8732394366197184,0.7027858951879993
homeruns,5,3,2.2178217711757715,31,4,0.9473684210526316,0.6921555845284659
homeruns,6,3,2.0334422385985906,55,18,0.8732394366197184,0.7027858951879993
homeruns,7,6,1.8404189440874676,22,16,0.8732394366197184,0.7027858951879993
homeruns,9,4,1.576466576155447,63,20,0.8732394366197184,0.6851446522501461
homeruns,10,6,3.058227426218493,25,15,0.8732394366197184,0.7027858951879993
homeruns,11,3,2.326769985435895,36,4,0.9473684210526316,0.6921555845284659
homeruns,12,3,0.6621209261270774,61,12,0.8732394366197184,0.7027858951879993
homeruns,13,6,3.117818812997362,34,5,0.8732394366197184,0.7027858951879993
homeruns,14,3,2.126625060898251,19,5,0.9473684210526316,0.6921555845284659
homeruns,15,3,3.909645251198543,32,6,0.9473684210526316,0.6921555845284659
homeruns,16,3,3.895291223763713,34,4,0.9473684210526316,0.6921555845284659
homeruns,17,6,3.2492497709734063,37,8,0.8732394366197184,0.7027858951879993
homeruns,18,3,3.129749873626836,29,17,0.8732394366197184,0.7027858951879993
homeruns,19,5,2.89307970151433,34,18,0.8732394366197184,0.6851446522501461
homeruns,20,6,3.397292064749333,28,18,0.8732394366197184,0.7027858951879993
homeruns,21,6,1.395013397779619,13,16,0.8732394366197184,0.7027858951879993
homeruns,22,3,2.149048293674263,50,6,0.9473684210526316,0.6921555845284659
homeruns,23,3,2.2208229394391266,23,5,0.9473684210526316,0.6921555845284659
homeruns,24,6,3.2182264560261165,80,11,0.8732394366197184,0.7027858951879993
homeruns,25,3,2.374376653013874,35,4,0.9473684210526316,0.6921555845284659
homeruns,26,3,1.1469133129454951,28,13,0.8732394366197184,0.7027858951879993
homeruns,27,6,3.5630318940185997,30,11,0.8732394366197184,0.7027858951879993
homeruns,28,3,1.4294701041566467,21,17,0.7564766839378239,0.5825604554529622
homeruns,29,3,3.9999850294956074,60,5,0.9473684210526316,0.6921555845284659
homeruns,30,5,1.4273113443774115,93,8,0.9333333333333333,0.6724841209318344
homeruns,31,3,2.147214125772224,17,6,0.9473684210526316,0.6661482585211399
homeruns,32,3,3.957969167540826,28,4,0.9473684210526316,0.6921555845284659
homeruns,33,3,3.8943667085530325,30,6,0.9473684210526316,0.6921555845284659
homeruns,34,6,3.298574654382014,83,18,0.8732394366197184,0.7027858951879993
homeruns,35,4,1.0986658873639072,46,11,0.8732394366197184,0.6981377185059242
homeruns,36,3,3.9521723459858262,31,4,0.9473684210526316,0.6921555845284659
homeruns,37,3,3.4121482323810293,25,16,0.8732394366197184,0.7027858951879993
homeruns,38,3,2.89054730467738,17,6,0.9473684210526316,0.6921555845284659
homeruns,39,6,1.7833210829928514,24,16,0.8732394366197184,0.7027858951879993
