file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
measles, 0, 4, 3.541610089132125, 68, 20, 0.9473684210526316, 0.9511852891971232
measles, 1, 3, 3.121145252295534, 93, 34, 0.9473684210526316, 0.9511852891971232
measles, 2, 3, 0.47510646238403553, 37, 50, 0.9473684210526316, 0.9511852891971232
measles, 3, 4, 2.6941610317372247, 52, 19, 0.9473684210526316, 0.9511852891971232
measles, 4, 6, 3.5244723263105673, 54, 33, 0.9473684210526316, 0.9511852891971232
measles, 5, 4, 3.292618142739344, 95, 28, 0.9473684210526316, 0.9511852891971232
measles, 6, 5, 3.9828001696951265, 96, 46, 0.9473684210526316, 0.9511852891971232
measles, 7, 5, 3.286278665407656, 62, 11, 0.9473684210526316, 0.9511852891971232
measles, 9, 4, 2.128130429050986, 83, 47, 0.9473684210526316, 0.9511852891971232
measles, 10, 3, 3.4520119598036882, 94, 23, 0.9473684210526316, 0.9511852891971232
measles, 11, 3, 3.2952915593459204, 89, 36, 0.9473684210526316, 0.9511852891971232
measles, 12, 5, 2.1063483603967477, 54, 38, 0.6428571428571429, 0.9224826860548353
measles, 13, 3, 3.905674755915874, 87, 23, 0.9473684210526316, 0.9511852891971232
measles, 14, 3, 3.194323708905008, 34, 16, 0.9473684210526316, 0.9511852891971232
measles, 15, 4, 3.346466089582713, 88, 21, 0.9473684210526316, 0.9511852891971232
measles, 16, 4, 3.2792077313010037, 99, 42, 0.9473684210526316, 0.9511852891971232
measles, 17, 4, 3.789763374565301, 99, 46, 0.9473684210526316, 0.9511852891971232
measles, 18, 4, 3.9395240412363535, 99, 22, 0.9473684210526316, 0.9511852891971232
measles, 19, 3, 3.8486858773846238, 62, 42, 0.9473684210526316, 0.9511852891971232
measles, 20, 4, 2.840057118026634, 88, 27, 0.9473684210526316, 0.9511852891971232
measles, 21, 4, 2.723576344184381, 60, 5, 0.9473684210526316, 0.9511852891971232
measles, 22, 5, 3.81457483859704, 76, 35, 0.9473684210526316, 0.9511852891971232
measles, 23, 3, 3.3688299419544117, 69, 43, 0.9473684210526316, 0.9511852891971232
measles, 24, 3, 3.364697697062686, 92, 13, 0.9473684210526316, 0.9511852891971232
measles, 25, 3, 3.560722693397861, 93, 17, 0.9473684210526316, 0.9511852891971232
measles, 26, 3, 3.6133468426585336, 11, 31, 0.9473684210526316, 0.9511852891971232
measles, 27, 3, 3.902859573227741, 98, 32, 0.9473684210526316, 0.9511852891971232
measles, 28, 6, 0.14847146919607224, 10, 24, 0.9473684210526316, 0.9511852891971232
measles, 29, 5, 3.864863481588121, 27, 21, 0.6428571428571429, 0.869478207089613
measles, 30, 4, 3.8287387434814617, 60, 6, 0.9473684210526316, 0.9511852891971232
measles, 31, 4, 2.6044621445745233, 32, 32, 0.9473684210526316, 0.9511852891971232
measles, 32, 5, 3.391854702264103, 93, 46, 0.9473684210526316, 0.9511852891971232
measles, 33, 3, 3.9048974904660776, 86, 15, 0.9473684210526316, 0.9511852891971232
measles, 34, 4, 3.305034987238224, 95, 31, 0.9473684210526316, 0.9511852891971232
measles, 35, 3, 2.5067780433414466, 95, 30, 1.0, 0.8861755802219979
measles, 36, 3, 3.2917190932375933, 99, 8, 0.9473684210526316, 0.9511852891971232
measles, 37, 5, 2.443652002570756, 62, 43, 0.6428571428571429, 0.9094775718775825
measles, 38, 3, 3.781001151122891, 89, 17, 0.9473684210526316, 0.9511852891971232
measles, 39, 4, 1.917093155618538, 90, 39, 0.9473684210526316, 0.9511852891971232
