file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
nile, 0, 4, 1.7045011159798928, 75, 22, 1.0, 0.8879999999999999
nile, 1, 4, 1.4383548219021647, 69, 15, 1.0, 0.8879999999999999
nile, 2, 4, 0.9980096917369112, 64, 24, 1.0, 0.8879999999999999
nile, 3, 4, 1.902755468747251, 41, 11, 1.0, 0.8879999999999999
nile, 4, 4, 1.2487221988661525, 92, 12, 1.0, 0.8879999999999999
nile, 5, 4, 1.2066552749576032, 48, 27, 1.0, 0.8879999999999999
nile, 6, 4, 2.3794287906615796, 69, 24, 1.0, 0.8879999999999999
nile, 7, 4, 1.1988406794022437, 100, 21, 1.0, 0.8879999999999999
nile, 9, 4, 2.012547772302665, 42, 21, 1.0, 0.8879999999999999
nile, 10, 4, 3.0215503149157357, 63, 16, 1.0, 0.8879999999999999
nile, 11, 4, 1.0431702774732743, 26, 27, 1.0, 0.8879999999999999
nile, 12, 4, 0.9351830456910075, 59, 22, 1.0, 0.8879999999999999
nile, 13, 4, 1.5120593978916368, 75, 18, 1.0, 0.8879999999999999
nile, 14, 4, 1.6199170338398956, 65, 20, 1.0, 0.8879999999999999
nile, 15, 4, 0.9788638379532312, 79, 21, 1.0, 0.8879999999999999
nile, 16, 4, 3.0522841742812528, 24, 17, 1.0, 0.8879999999999999
nile, 17, 4, 2.7662268637647505, 99, 26, 1.0, 0.8879999999999999
nile, 18, 3, 0.6810790722019492, 30, 22, 1.0, 0.8572631578947367
nile, 19, 3, 0.4909968714337083, 39, 24, 1.0, 0.8572631578947367
nile, 20, 4, 0.8556021098001743, 14, 23, 1.0, 0.8879999999999999
nile, 21, 4, 1.1387463397957627, 84, 20, 1.0, 0.8879999999999999
nile, 22, 4, 1.3897733049212189, 80, 19, 1.0, 0.8879999999999999
nile, 23, 4, 0.7670906530497631, 77, 18, 1.0, 0.8879999999999999
nile, 24, 4, 3.612438836695887, 28, 24, 1.0, 0.8879999999999999
nile, 25, 4, 1.2728496854941425, 46, 27, 1.0, 0.8879999999999999
nile, 26, 4, 1.013186969378594, 35, 15, 1.0, 0.8879999999999999
nile, 27, 4, 1.3288657123831575, 77, 18, 1.0, 0.8879999999999999
nile, 28, 4, 1.027344990323663, 35, 26, 1.0, 0.8879999999999999
nile, 29, 4, 3.2054746540040195, 88, 16, 1.0, 0.8879999999999999
nile, 30, 5, 0.7464501410264718, 22, 22, 1.0, 0.8647200000000002
nile, 31, 4, 1.2254795104276457, 66, 21, 1.0, 0.8879999999999999
nile, 32, 4, 3.389037499322401, 77, 14, 1.0, 0.8879999999999999
nile, 33, 4, 2.329338568988573, 25, 28, 1.0, 0.8879999999999999
nile, 34, 4, 1.2876323386870352, 85, 24, 1.0, 0.8879999999999999
nile, 35, 4, 1.0046811241780298, 67, 13, 1.0, 0.8879999999999999
nile, 36, 4, 1.2016610929181994, 47, 24, 1.0, 0.8879999999999999
nile, 37, 4, 3.2242677972681824, 49, 19, 1.0, 0.8879999999999999
nile, 38, 4, 1.0650861175988093, 51, 24, 1.0, 0.8879999999999999
nile, 39, 4, 1.943977367876032, 57, 17, 1.0, 0.8879999999999999
