file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
nile, 0, 5, 1.1700015750553758, 68, 26, 1.0, 0.8568
nile, 1, 4, 2.648468822456485, 20, 24, 1.0, 0.8879999999999999
nile, 2, 4, 0.9984664324053083, 10, 27, 1.0, 0.8879999999999999
nile, 3, 4, 1.31328389219533, 90, 10, 1.0, 0.8879999999999999
nile, 4, 6, 1.442564822293324, 59, 18, 1.0, 0.8568
nile, 5, 4, 1.207218451490564, 59, 19, 1.0, 0.8879999999999999
nile, 6, 4, 1.9781991992179664, 89, 21, 1.0, 0.8879999999999999
nile, 7, 6, 1.4754188915036388, 51, 20, 1.0, 0.8568
nile, 9, 5, 1.7860495218789567, 64, 22, 1.0, 0.8568
nile, 10, 4, 3.2625547020516605, 83, 9, 1.0, 0.8879999999999999
nile, 11, 4, 1.8043021516361297, 14, 27, 1.0, 0.8879999999999999
nile, 12, 4, 0.7782685609557807, 14, 28, 1.0, 0.8879999999999999
nile, 13, 4, 1.075139568296142, 54, 22, 1.0, 0.8879999999999999
nile, 14, 6, 0.9871686778054762, 42, 21, 1.0, 0.8572631578947367
nile, 15, 6, 1.7471452999691535, 19, 21, 1.0, 0.8568
nile, 16, 4, 1.0826919681689224, 44, 17, 1.0, 0.8879999999999999
nile, 17, 6, 1.936787416677964, 82, 25, 1.0, 0.8568
nile, 18, 3, 0.6998437931053196, 44, 24, 1.0, 0.8572631578947367
nile, 19, 3, 0.6085595342590572, 67, 23, 1.0, 0.8572631578947367
nile, 20, 4, 2.2278372290739945, 61, 4, 1.0, 0.8879999999999999
nile, 21, 5, 1.0939757907489263, 39, 29, 1.0, 0.8568
nile, 22, 6, 1.4202487474783425, 43, 8, 1.0, 0.8568
nile, 23, 6, 0.7828096211896558, 91, 20, 1.0, 0.8572631578947367
nile, 24, 4, 2.7422813337267278, 55, 26, 1.0, 0.8879999999999999
nile, 25, 4, 1.4036040806832097, 47, 14, 1.0, 0.8879999999999999
nile, 26, 4, 1.0360125861873504, 76, 16, 1.0, 0.8879999999999999
nile, 27, 6, 0.8895301425885543, 77, 26, 1.0, 0.8568
nile, 28, 5, 0.87491824722792, 44, 3, 1.0, 0.8568
nile, 29, 4, 2.83725976486112, 23, 28, 1.0, 0.8879999999999999
nile, 30, 6, 0.6209876005807367, 95, 22, 1.0, 0.8572631578947367
nile, 31, 5, 1.4897758380614126, 29, 26, 1.0, 0.8568
nile, 32, 4, 0.8670952705924748, 31, 25, 1.0, 0.8879999999999999
nile, 33, 6, 1.1321536950592455, 35, 17, 1.0, 0.8568
nile, 34, 5, 1.6284612314687124, 74, 26, 1.0, 0.8568
nile, 35, 3, 1.0406098467365115, 13, 24, 1.0, 0.8568
nile, 36, 4, 0.5454396483008744, 42, 30, 1.0, 0.827
nile, 37, 4, 3.1235887808916156, 53, 14, 1.0, 0.8879999999999999
nile, 38, 6, 1.472905567100895, 83, 19, 1.0, 0.8568
nile, 39, 4, 1.6381859180573575, 57, 18, 1.0, 0.8879999999999999
