file,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size,f1,cover
nile,0,4,1.3417973597078694,99,24,1.0,0.8879999999999999
nile,1,4,1.586347957692118,51,20,1.0,0.8879999999999999
nile,2,4,0.9985585679224117,45,21,1.0,0.8879999999999999
nile,3,4,1.115619297256327,92,12,1.0,0.8879999999999999
nile,4,4,1.7702020290486264,17,28,1.0,0.8879999999999999
nile,5,4,1.05615863064006,31,27,1.0,0.8879999999999999
nile,6,4,2.0449554844364015,26,16,1.0,0.8879999999999999
nile,7,4,0.9906338969246727,11,18,1.0,0.8879999999999999
nile,9,4,0.8089465736733377,68,17,1.0,0.8879999999999999
nile,10,4,2.7972785765164327,64,14,1.0,0.8879999999999999
nile,11,4,1.7513781366684318,64,14,1.0,0.8879999999999999
nile,12,4,0.8588193038730172,65,28,1.0,0.8879999999999999
nile,13,4,1.9427393069898982,62,27,1.0,0.8879999999999999
nile,14,4,1.018622941164442,46,27,1.0,0.8879999999999999
nile,15,4,1.2459216343370645,98,16,1.0,0.8879999999999999
nile,16,4,3.26537324516652,89,10,1.0,0.8879999999999999
nile,17,4,2.373731884317425,100,24,1.0,0.8879999999999999
nile,18,3,0.26274337752183474,26,23,1.0,0.8572631578947367
nile,19,4,0.4478826362124759,28,24,1.0,0.8572631578947367
nile,20,4,1.6263428459333626,27,21,1.0,0.8879999999999999
nile,21,4,1.1845259632221938,40,25,1.0,0.8879999999999999
nile,22,4,1.7586973379582522,59,21,1.0,0.8879999999999999
nile,23,4,0.7827644093102004,63,21,1.0,0.8879999999999999
nile,24,4,3.389063464500572,51,14,1.0,0.8879999999999999
nile,25,4,0.9445564602093173,84,28,1.0,0.8879999999999999
nile,26,4,1.0534303743635651,60,17,1.0,0.8879999999999999
nile,27,4,2.0355584832058886,35,26,1.0,0.8879999999999999
nile,28,4,0.8831001201373962,40,22,1.0,0.8879999999999999
nile,29,4,2.5730235121763427,99,16,1.0,0.8879999999999999
nile,30,5,0.842112579760774,98,21,1.0,0.8647200000000002
nile,31,4,1.8859135416245452,62,12,1.0,0.8879999999999999
nile,32,4,1.521251647593207,12,17,1.0,0.8879999999999999
nile,33,4,2.4559134582590914,15,25,1.0,0.8879999999999999
nile,34,4,2.927180843354998,55,9,1.0,0.8879999999999999
nile,35,4,1.0074497890071439,40,22,1.0,0.8879999999999999
nile,36,4,1.1973877113015214,21,16,1.0,0.8879999999999999
nile,37,4,2.8997253089566373,20,19,1.0,0.8879999999999999
nile,38,4,2.345095835743646,63,6,1.0,0.8879999999999999
nile,39,4,1.3110996889251463,82,10,1.0,0.8879999999999999
