file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
ozone, 0, 6, 3.1456206794676467, 98, 12, 1.0, 0.6551234567901234
ozone, 1, 4, 3.7773365122130467, 67, 11, 1.0, 0.6551234567901234
ozone, 2, 6, 2.039394845738959, 49, 29, 0.9655172413793104, 0.805432098765432
ozone, 3, 4, 0.4715222019123401, 26, 26, 0.9655172413793104, 0.8518518518518519
ozone, 4, 3, 0.4029518287308099, 57, 25, 0.9655172413793104, 0.8218792866941016
ozone, 5, 5, 1.6328111466292656, 54, 7, 1.0, 0.6881367957996309
ozone, 6, 3, 1.1933367890331492, 33, 14, 1.0, 0.6394282001299545
ozone, 7, 5, 0.13711206747633242, 46, 29, 0.9655172413793104, 0.805432098765432
ozone, 9, 4, 0.43541344825433276, 54, 27, 0.9655172413793104, 0.8518518518518519
ozone, 10, 4, 0.23140766181302108, 48, 25, 0.9655172413793104, 0.8518518518518519
ozone, 11, 5, 1.0016387623131657, 41, 13, 1.0, 0.7016358024691358
ozone, 12, 6, 2.3846907317955015, 72, 26, 0.9655172413793104, 0.805432098765432
ozone, 13, 4, 1.2023172186056628, 12, 13, 1.0, 0.6651234567901234
ozone, 14, 3, 1.6615024084100527, 34, 10, 1.0, 0.6551234567901234
ozone, 15, 4, 1.2057716121830528, 56, 14, 1.0, 0.6651234567901234
ozone, 16, 3, 2.3454519833157543, 46, 10, 1.0, 0.6551234567901234
ozone, 17, 3, 1.253038493901896, 27, 14, 1.0, 0.6394282001299545
ozone, 18, 5, 3.957463244429463, 38, 8, 1.0, 0.6881367957996309
ozone, 19, 5, 3.6708567197179214, 42, 6, 1.0, 0.6881367957996309
ozone, 20, 5, 0.10248601116215794, 36, 26, 0.9655172413793104, 0.805432098765432
ozone, 21, 5, 1.091731367111286, 97, 9, 1.0, 0.6881367957996309
ozone, 22, 3, 1.7122634280306903, 19, 10, 1.0, 0.6551234567901234
ozone, 23, 4, 1.1849987655411234, 96, 15, 1.0, 0.6651234567901234
ozone, 24, 4, 3.3652754539903653, 25, 11, 1.0, 0.6551234567901234
ozone, 25, 4, 1.1227689888658616, 59, 15, 1.0, 0.6651234567901234
ozone, 26, 6, 0.5456427963572049, 14, 28, 0.9655172413793104, 0.805432098765432
ozone, 27, 3, 0.14545624714863492, 77, 27, 0.9655172413793104, 0.8218792866941016
ozone, 28, 3, 2.468916930892539, 35, 32, 0.9655172413793104, 0.7413019079685746
ozone, 29, 4, 1.2572479302880046, 69, 13, 1.0, 0.6651234567901234
ozone, 30, 3, 0.8896802766361337, 93, 12, 1.0, 0.6551234567901234
ozone, 31, 4, 0.27389502468079563, 95, 25, 0.9655172413793104, 0.8518518518518519
ozone, 32, 5, 2.014794175173444, 15, 15, 1.0, 0.7016358024691358
ozone, 33, 5, 1.8993979309675164, 57, 12, 1.0, 0.7016358024691358
ozone, 34, 3, 2.5850115077797216, 99, 11, 1.0, 0.6551234567901234
ozone, 35, 3, 1.4273642717248767, 22, 8, 1.0, 0.618742985409652
ozone, 36, 4, 3.5512413248199, 75, 11, 1.0, 0.6551234567901234
ozone, 37, 3, 0.10288653671174175, 80, 26, 0.9655172413793104, 0.8218792866941016
ozone, 38, 4, 0.28757282759946823, 23, 27, 0.9655172413793104, 0.8518518518518519
ozone, 39, 4, 0.20378243267461205, 14, 28, 0.9655172413793104, 0.8518518518518519
