file,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size,f1,cover
ozone,0,4,0.24912371794674457,43,28,0.9655172413793104,0.8518518518518519
ozone,1,4,0.11063135592087481,49,28,0.9655172413793104,0.8518518518518519
ozone,2,4,3.732766092921774,12,27,0.9655172413793104,0.8518518518518519
ozone,3,4,0.42707196691312466,46,28,0.9655172413793104,0.8518518518518519
ozone,4,4,0.12692939826038407,20,25,0.9655172413793104,0.8518518518518519
ozone,5,4,0.7868928057932052,90,27,0.9655172413793104,0.8518518518518519
ozone,6,4,0.3707351055790592,96,26,0.9655172413793104,0.8518518518518519
ozone,7,4,0.10212327411467612,82,25,0.9655172413793104,0.8518518518518519
ozone,9,4,0.2510958850697357,19,26,0.9655172413793104,0.8518518518518519
ozone,10,4,0.10384524494134939,16,25,0.9655172413793104,0.8518518518518519
ozone,11,4,0.4004947016991232,11,28,0.9655172413793104,0.8518518518518519
ozone,12,4,3.45873146545206,37,27,0.9655172413793104,0.8518518518518519
ozone,13,4,0.5969396049935591,66,25,0.9655172413793104,0.8518518518518519
ozone,14,4,0.11966530270573927,93,25,0.9655172413793104,0.8518518518518519
ozone,15,4,0.2746279980621284,64,28,0.9655172413793104,0.8518518518518519
ozone,16,4,0.25554955572762394,71,27,0.9655172413793104,0.8518518518518519
ozone,17,4,0.1497037326098941,67,27,0.9655172413793104,0.8518518518518519
ozone,18,4,0.6862648759235667,70,25,0.9655172413793104,0.8518518518518519
ozone,19,4,0.548157019622667,52,27,0.9655172413793104,0.8518518518518519
ozone,20,4,0.18100809305365237,62,26,0.9655172413793104,0.8518518518518519
ozone,21,4,0.10390224113317048,57,25,0.9655172413793104,0.8518518518518519
ozone,22,4,0.6332906580970245,93,26,0.9655172413793104,0.8518518518518519
ozone,23,4,0.3300341432636876,95,26,0.9655172413793104,0.8518518518518519
ozone,24,4,0.16965671240423508,23,26,0.9655172413793104,0.8518518518518519
ozone,25,4,0.7204427400161465,58,28,0.9655172413793104,0.8518518518518519
ozone,26,4,0.6723937069537222,59,27,0.9655172413793104,0.8518518518518519
ozone,27,4,0.1074660997753059,36,28,0.9655172413793104,0.8518518518518519
ozone,28,4,2.472506316402371,45,28,0.9655172413793104,0.8518518518518519
ozone,29,4,0.4562928382204771,75,27,0.9655172413793104,0.8518518518518519
ozone,30,4,0.32317221669117047,14,25,0.9655172413793104,0.8518518518518519
ozone,31,4,0.10564075924885818,63,27,0.9655172413793104,0.8518518518518519
ozone,32,4,0.1516271437449544,70,27,0.9655172413793104,0.8518518518518519
ozone,33,4,0.10043595702850039,97,25,0.9655172413793104,0.8518518518518519
ozone,34,4,0.12091098743189688,20,28,0.9655172413793104,0.8518518518518519
ozone,35,4,0.643575559000183,63,25,0.9655172413793104,0.8518518518518519
ozone,36,4,0.3065933827715797,42,28,0.9655172413793104,0.8518518518518519
ozone,37,4,0.10554533535766832,21,27,0.9655172413793104,0.8518518518518519
ozone,38,4,0.1668414091946953,15,28,0.9655172413793104,0.8518518518518519
ozone,39,4,0.10125795555596129,63,25,0.9655172413793104,0.8518518518518519
