file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
quality_control_2, 0, 4, 1.6663995083782155, 46, 12, 1.0, 0.9223181723701366
quality_control_2, 1, 5, 2.2333315962800033, 15, 21, 1.0, 0.9174385384557551
quality_control_2, 2, 3, 3.6390616580230604, 79, 19, 0.7500000000000001, 0.6382524441558766
quality_control_2, 3, 5, 0.9381643016847105, 96, 35, 0.8, 0.8200565371024735
quality_control_2, 4, 5, 1.1356996267907093, 52, 22, 1.0, 0.9167703180212013
quality_control_2, 5, 6, 1.6499597377578192, 62, 48, 1.0, 0.9223181723701366
quality_control_2, 6, 4, 2.317723251113527, 46, 31, 1.0, 0.9223181723701366
quality_control_2, 7, 4, 0.5592307315372846, 59, 45, 0.8, 0.7866291264337409
quality_control_2, 9, 4, 3.567134584915045, 79, 37, 0.888888888888889, 0.9029730079736554
quality_control_2, 10, 4, 0.488054046441011, 61, 47, 0.8, 0.7866291264337409
quality_control_2, 11, 3, 1.9869751954352988, 72, 45, 1.0, 0.9230324445872149
quality_control_2, 12, 4, 0.5824678132540468, 32, 36, 0.7500000000000001, 0.6382524441558766
quality_control_2, 13, 4, 1.2947258096716063, 96, 28, 1.0, 0.9223181723701366
quality_control_2, 14, 6, 2.609556314635487, 51, 34, 0.7500000000000001, 0.6382524441558766
quality_control_2, 15, 4, 0.2167732508873241, 77, 4, 0.7500000000000001, 0.6382524441558766
quality_control_2, 16, 5, 1.1633941437678426, 46, 38, 0.7500000000000001, 0.6382524441558766
quality_control_2, 17, 4, 1.6469636699824164, 84, 21, 0.7500000000000001, 0.6382524441558766
quality_control_2, 18, 4, 2.4567544748285055, 23, 11, 1.0, 0.9223181723701366
quality_control_2, 19, 5, 1.5136869477896253, 94, 35, 0.7500000000000001, 0.6382524441558766
quality_control_2, 20, 5, 0.7868596698807413, 100, 43, 1.0, 0.9167703180212013
quality_control_2, 21, 5, 1.4539709824092026, 37, 49, 1.0, 0.9174385384557551
quality_control_2, 22, 5, 1.7115849644304397, 11, 32, 1.0, 0.9174385384557551
quality_control_2, 23, 5, 1.8110746089845042, 60, 35, 0.7500000000000001, 0.6382524441558766
quality_control_2, 24, 6, 1.9926058261447348, 93, 18, 1.0, 0.9223181723701366
quality_control_2, 25, 3, 1.3781851269461718, 87, 5, 1.0, 0.9230324445872149
quality_control_2, 26, 4, 2.280450506927655, 85, 26, 0.888888888888889, 0.9029730079736554
quality_control_2, 27, 6, 2.7244752096975016, 74, 42, 1.0, 0.9223181723701366
quality_control_2, 28, 4, 0.3103773554800213, 70, 43, 0.8, 0.7979365469284405
quality_control_2, 29, 5, 1.375411676124457, 10, 33, 1.0, 0.9174385384557551
quality_control_2, 30, 5, 1.2635651199154256, 97, 19, 1.0, 0.9174385384557551
quality_control_2, 31, 6, 3.5140417920633893, 90, 46, 0.7500000000000001, 0.6382524441558766
quality_control_2, 32, 4, 0.9798942908330819, 11, 49, 1.0, 0.9223181723701366
quality_control_2, 33, 6, 3.8435456044662013, 63, 45, 0.7500000000000001, 0.6382524441558766
quality_control_2, 34, 4, 0.8652522710438018, 75, 29, 0.7500000000000001, 0.6382524441558766
quality_control_2, 35, 4, 1.71854458292548, 52, 16, 0.7500000000000001, 0.6382524441558766
quality_control_2, 36, 6, 0.24563866824101716, 86, 4, 0.7500000000000001, 0.6382524441558766
quality_control_2, 37, 4, 3.041425576411526, 28, 26, 0.8, 0.8416545416753273
quality_control_2, 38, 5, 2.5392062008024534, 24, 18, 1.0, 0.9174385384557551
quality_control_2, 39, 4, 3.734965338697302, 94, 16, 1.0, 0.9167703180212013
