file,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size,f1,cover
quality_control_3,0,4,1.716325186420081,15,47,1.0,0.9934729811778993
quality_control_3,1,3,3.231535577782371,40,40,0.8,0.7868852459016393
quality_control_3,2,4,1.1442032970108151,81,19,0.6666666666666666,0.5002717310161545
quality_control_3,3,3,0.7404428209309354,41,47,0.5,0.8108002428658165
quality_control_3,4,6,1.0657614817400547,19,33,0.8,0.8951123254401944
quality_control_3,5,6,2.0408451664897984,16,35,0.5,0.8708078859959285
quality_control_3,6,5,3.923311963335901,70,42,1.0,0.9934729811778993
quality_control_3,7,3,1.7739570738877548,92,15,0.7659574468085106,0.8442622950819672
quality_control_3,9,5,1.393039654162836,68,6,0.5714285714285715,0.7335479071896546
quality_control_3,10,3,2.838284952389048,92,42,0.7659574468085106,0.8442622950819672
quality_control_3,11,4,2.5976455905674127,11,19,1.0,0.9934729811778993
quality_control_3,12,5,0.6946811611474616,73,30,0.5,0.8294315456321242
quality_control_3,13,5,3.840260140683345,14,12,1.0,0.9934729811778993
quality_control_3,14,4,1.9689443962995397,45,20,0.6666666666666666,0.5002717310161545
quality_control_3,15,5,3.5949636894490866,90,23,0.6666666666666666,0.5002717310161545
quality_control_3,16,6,0.337627205559966,86,28,0.6666666666666666,0.5002717310161545
quality_control_3,17,6,2.932454488585246,53,31,0.6666666666666666,0.5002717310161545
quality_control_3,18,5,1.9244261645421976,27,22,1.0,0.9934729811778993
quality_control_3,19,4,1.0956988303489783,70,43,0.6666666666666666,0.5002717310161545
quality_control_3,20,5,1.0410436154762217,85,37,0.6666666666666666,0.6857923497267759
quality_control_3,21,5,1.8721790795693314,11,23,1.0,0.9934729811778993
quality_control_3,22,6,2.4490255391832214,28,5,1.0,0.9934729811778993
quality_control_3,23,5,1.4798732017593934,37,31,0.6666666666666666,0.5002717310161545
quality_control_3,24,3,1.7249765497400142,75,48,1.0,0.9934729811778993
quality_control_3,25,4,2.477148147496682,18,16,1.0,0.9934729811778993
quality_control_3,26,4,3.778922698394187,79,15,0.5,0.9635006478508252
quality_control_3,27,5,2.997164199273527,42,42,1.0,0.9934729811778993
quality_control_3,28,4,2.5089513294262376,68,37,0.6666666666666666,0.5002717310161545
quality_control_3,29,6,3.0036617819791416,26,41,0.8,0.7540983606557377
quality_control_3,30,3,0.6741915466522499,21,49,0.6666666666666666,0.7704918032786885
quality_control_3,31,4,1.6432841387386186,78,36,0.5,0.8821805880822273
quality_control_3,32,4,1.4605114079237096,97,29,1.0,0.9934729811778993
quality_control_3,33,4,0.9494153272190696,20,34,0.6666666666666666,0.5002717310161545
quality_control_3,34,5,2.887689913499431,21,20,0.6666666666666666,0.5002717310161545
quality_control_3,35,3,0.9972785475164639,60,27,0.5,0.6914346430739873
quality_control_3,36,6,0.4186027346467751,49,11,0.6666666666666666,0.5002717310161545
quality_control_3,37,6,2.207870830085888,25,30,0.8,0.8951123254401944
quality_control_3,38,3,0.9847516271559803,96,41,0.8,0.8278688524590164
quality_control_3,39,6,2.3595945008440653,35,29,1.0,0.9934729811778993
