file, distance_index, batch_size, threshold, max_dist_size, new_dist_buffer_size, f1, cover
uk_coal_employ, 0, 4, 0.7262557415446731, 55, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 1, 4, 0.9654498283880142, 53, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 2, 4, 1.9903961108493848, 51, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 3, 6, 0.14060007833448968, 89, 11, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 4, 4, 0.6185711545847759, 16, 7, 0.4084507042253521, 0.39281296023564066
uk_coal_employ, 5, 4, 1.787304324642688, 89, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 6, 4, 0.46337994763680734, 97, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 7, 4, 0.49056616276407833, 89, 7, 0.4084507042253521, 0.39281296023564066
uk_coal_employ, 9, 5, 3.4100401672687037, 29, 25, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 10, 4, 0.27775602719861997, 20, 8, 0.4084507042253521, 0.39281296023564066
uk_coal_employ, 11, 3, 1.8375352160187317, 59, 31, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 12, 4, 1.6447110806741707, 45, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 13, 6, 2.485663129077427, 19, 5, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 14, 4, 0.12292032217497906, 11, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 15, 4, 0.6221312291020955, 35, 36, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 16, 4, 1.037955098963195, 25, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 17, 4, 0.3095596343793787, 82, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 18, 4, 0.8730689571083339, 82, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 19, 4, 3.927834451097296, 50, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 20, 4, 0.9634807247895605, 100, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 21, 4, 2.9009025918209757, 74, 26, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 22, 4, 0.19605899492475198, 53, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 23, 4, 0.6305751439648081, 94, 48, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 24, 4, 1.2010354489227018, 65, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 26, 4, 3.0474531952443193, 94, 29, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 27, 4, 1.4501609253161103, 52, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 28, 4, 2.479987352030328, 28, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 29, 4, 0.6690013609845286, 70, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 30, 6, 3.6308900727962503, 21, 17, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 31, 4, 0.43490315251692246, 41, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 32, 4, 0.5847142068646136, 69, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 33, 4, 1.8209437878133898, 29, 43, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 34, 4, 1.860802352413772, 45, 4, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 35, 5, 0.5489646663489189, 30, 19, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 36, 4, 0.410729242290271, 97, 3, 0.4084507042253521, 0.3641301272984442
uk_coal_employ, 37, 4, 2.1753082157479415, 11, 10, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 38, 6, 1.0960288568935779, 72, 30, 0.5132743362831859, 0.35648072562358274
uk_coal_employ, 39, 4, 0.18017672984031183, 76, 3, 0.4084507042253521, 0.3641301272984442
