file,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size,f1,cover
us_population,0,5,3.8397198218566473,91,17,0.6666666666666666,0.4203431372549019
us_population,1,3,3.997480914325945,100,50,0.5,0.28602941176470587
us_population,2,4,0.16144376559386694,93,43,0.888888888888889,0.8033761053440983
us_population,3,5,3.490821237287461,94,21,0.6666666666666666,0.42892156862745096
us_population,4,5,3.5033112490966687,91,17,0.6666666666666666,0.42892156862745096
us_population,5,5,3.9970682235767327,89,19,0.6666666666666666,0.4203431372549019
us_population,6,5,3.994571628795975,91,43,0.6666666666666666,0.4203431372549019
us_population,7,5,3.7459362898459423,90,30,0.6666666666666666,0.42892156862745096
us_population,9,5,3.761755956199198,90,27,0.6666666666666666,0.42892156862745096
us_population,10,4,3.9927409697410314,99,44,0.5,0.2872549019607843
us_population,11,5,3.853979755888413,94,43,0.6666666666666666,0.4203431372549019
us_population,12,4,0.5443286458935976,38,42,1.0,0.738245858688303
us_population,13,5,3.830121692737982,92,10,0.6666666666666666,0.4203431372549019
us_population,14,5,3.711697437169916,93,24,0.6666666666666666,0.4264705882352942
us_population,15,3,3.9994963901929763,100,15,0.5,0.28602941176470587
us_population,16,3,3.997566626488063,100,17,0.5,0.28602941176470587
us_population,17,3,3.997994253540123,100,18,0.5,0.28602941176470587
us_population,18,5,3.9649200205839548,91,31,0.6666666666666666,0.41789215686274506
us_population,19,3,3.929085166341205,96,37,0.6666666666666666,0.4154411764705882
us_population,20,3,3.7830199029674807,92,46,0.6666666666666666,0.42941176470588244
us_population,21,6,1.1647346864537984,58,17,1.0,0.738727612257024
us_population,22,5,3.8556140717226226,91,13,0.6666666666666666,0.4203431372549019
us_population,23,5,3.707480733814681,94,38,0.6666666666666666,0.4264705882352942
us_population,24,3,3.9256022828157286,100,28,0.5,0.28169934640522876
us_population,25,5,3.8241197268078104,94,32,0.6666666666666666,0.4203431372549019
us_population,26,4,1.1962675964782856,47,40,1.0,0.738245858688303
us_population,27,4,3.9975616337188145,99,15,0.5,0.2872549019607843
us_population,28,5,0.27224430957289214,99,49,0.888888888888889,0.8033761053440983
us_population,29,6,2.862786261417738,90,40,0.4444444444444445,0.21323529411764705
us_population,30,6,1.1325498629962378,22,18,1.0,0.738727612257024
us_population,31,5,3.0767133097221326,100,26,0.6666666666666666,0.4325980392156863
us_population,32,3,3.9967673529302616,100,23,0.5,0.28602941176470587
us_population,33,3,3.9292237259235927,100,39,0.5,0.28602941176470587
us_population,34,3,3.9980863712018766,100,32,0.5,0.28602941176470587
us_population,35,3,1.8107532273335427,55,37,1.0,0.738727612257024
us_population,36,6,3.9992153325629327,100,19,0.5,0.275
us_population,37,5,3.9974570896262134,100,16,0.5,0.27818627450980393
us_population,38,3,3.780315312582971,91,47,0.6666666666666666,0.42941176470588244
us_population,39,5,3.7716038573982775,82,37,0.6666666666666666,0.4325980392156863
