Dataset,Stage0->Stage1,Stage1->Stage2,Stage2->Stage3,Stage0->Stage3
apple.csv,25.2558,1.9771,1.1742,58.6302
occupancy.csv,28.0409,1.6694,1.3462,63.0186
run_log.csv,37.0507,1.2637,2.0356,95.3057
bee_waggle_6.csv,22.4515,2.7210,1.0492,64.0982
well_log.csv,46.8145,1.1718,1.4297,78.4312
bitcoin.csv,26.9603,1.8509,1.0848,54.1305
us_population.csv,51.3406,1.3528,1.1349,78.8211
measles.csv,37.8461,2.3994,1.0416,94.5862
Average,34.4701,1.8008,1.2870,73.3777

Dataset,Stage0_Time,Stage1_Time,Stage2_Time,Stage3_Time
apple.csv,0.040111,0.001588,0.000803,0.000684
occupancy.csv,0.036138,0.001289,0.000772,0.000573
run_log.csv,0.054747,0.001478,0.001169,0.000574
bee_waggle_6.csv,0.041593,0.001853,0.000681,0.000649
well_log.csv,0.369518,0.007893,0.006736,0.004711
bitcoin.csv,0.062606,0.002322,0.001255,0.001157
us_population.csv,0.286768,0.005586,0.004129,0.003638
measles.csv,0.206623,0.005460,0.002275,0.002184
