Dataset,Stage0->Stage1,Stage1->Stage2,Stage2->Stage3,Stage0->Stage3
apple.csv,24.3398,2.1874,1.0101,53.7820
occupancy.csv,27.6790,1.5950,1.1849,52.3133
run_log.csv,37.2699,1.2359,1.1816,54.4244
bee_waggle_6.csv,23.2663,2.6195,1.1154,67.9810
well_log.csv,47.9083,1.1783,0.9713,54.8291
bitcoin.csv,26.4186,1.9699,0.8535,44.4175
us_population.csv,49.6829,1.3615,1.0430,70.5518
measles.csv,37.3642,2.4339,1.0428,94.8336
Average,34.2411,1.8227,1.0503,61.6416

# time details (in seconds)
Dataset,Stage0_Time,Stage1_Time,Stage2_Time,Stage3_Time
apple.csv,0.040707,0.001672,0.000765,0.000757
occupancy.csv,0.035568,0.001285,0.000806,0.000680
run_log.csv,0.054798,0.001470,0.001190,0.001007
bee_waggle_6.csv,0.041987,0.001805,0.000689,0.000618
well_log.csv,0.373202,0.007790,0.006611,0.006807
bitcoin.csv,0.061536,0.002329,0.001182,0.001385
us_population.csv,0.282414,0.005684,0.004175,0.004003
measles.csv,0.202482,0.005419,0.002227,0.002135
