dataset,f1,cover
bank,1.0,1.0
bitcoin,0.8391261,0.7215432
brent_spot,0.3087558,0.4595284
businv,0.7755102,0.6358754
centralia,0.9090909,0.7533333
children_per_woman,0.4047619,0.6967741
co2_canada,0.7834973,0.6332125
construction,0.9655172,0.7410747
debt_ireland,0.9583333,0.8322751
gdp_argentina,0.8888889,0.7187744
gdp_croatia,1.0,0.8016666
gdp_iran,0.8679246,0.7296852
gdp_japan,1.0,0.7310345
global_co2,0.9285715,0.7486236
homeruns,0.961039,0.6147026
iceland_tourism,1.0,0.8418851
jfk_passengers,0.53125,0.8118831
lga_passengers,0.7866948,0.5834314
measles,0.9473684,0.9511853
nile,1.0,0.888
ozone,0.9655172,0.8518518
quality_control_1,1.0,0.9923669
quality_control_2,1.0,0.9230325
quality_control_3,0.5,0.8708079
quality_control_4,0.7804878,0.6727408
quality_control_5,1.0,1.0
rail_lines,0.9655172,0.784749
ratner_stock,0.7755102,0.8736954
robocalls,0.8461539,0.7339161
scanline_126007,0.6601942,0.6237349
scanline_42049,0.7875,0.7880209
seatbelts,0.5833334,0.6194591
shanghai_license,0.7777778,0.6970538
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.7381703,0.5714749
us_population,0.6666667,0.4203432
usd_isk,0.8483685,0.8363743
well_log,0.4211327,0.636942
