dataset,f1,cover
apple,0.59375,0.4246265
bank,1.0,1.0
bee_waggle_6,0.9285714,0.8911283
bitcoin,0.4790874,0.48369
brent_spot,0.2718447,0.4080918
businv,0.5882353,0.4609477
centralia,0.7628866,0.6746667
children_per_woman,0.4047619,0.6967741
co2_canada,0.5439801,0.4657207
construction,0.6956522,0.5746032
debt_ireland,0.9583333,0.8322751
gdp_argentina,0.8888889,0.7202763
gdp_croatia,1.0,0.8016666
gdp_iran,0.6516854,0.5826397
gdp_japan,1.0,0.7310345
global_co2,0.8461538,0.758321
homeruns,0.6592179,0.5107153
iceland_tourism,0.9473684,0.9460216
jfk_passengers,0.7234043,0.6298433
lga_passengers,0.5347986,0.3830284
measles,0.9473684,0.9511853
nile,0.8235293,0.7580801
occupancy,0.5046944,0.4785383
ozone,0.9655172,0.8518518
quality_control_1,0.4444445,0.3450479
quality_control_2,0.5,0.4204947
quality_control_3,0.6666667,0.7346387
quality_control_4,0.7804878,0.6727408
quality_control_5,0.5,0.6184616
rail_lines,0.8316833,0.6554054
ratner_stock,0.5714286,0.4503256
robocalls,0.6363636,0.6005917
run_log,0.2289008,0.4236201
scanline_126007,0.6444008,0.50272
scanline_42049,0.34037,0.5005474
seatbelts,0.3214286,0.5037544
shanghai_license,0.6363637,0.5470886
uk_coal_employ,0.5132744,0.3564807
unemployment_nl,0.5663083,0.5065595
us_population,0.8888889,0.8033761
usd_isk,0.7854251,0.857702
well_log,0.2370225,0.2245755
