dataset, time(ms), energy(J)
centralia, 104.84668989547038, 0.026186160917825812
debt_ireland, 159.42857142857142, 0.039532692706762226
gdp_argentina, 638.2083333333334, 0.1537962587449709
gdp_croatia, 188.86163522012578, 0.04672581531133486
gdp_iran, 623.3061224489796, 0.1503213920532417
gdp_japan, 623.4081632653061, 0.15033009094373487
global_co2, 1696.3333333333333, 0.4043878300994845
homeruns, 2287.714285714286, 0.5471085298030027
nile, 1555.75, 0.3711559715915513
ozone, 618.9183673469388, 0.1500777214227933
rail_lines, 342.1931818181818, 0.08371973005166099
robocalls, 579.9615384615385, 0.14067979603257635
uk_coal_employ, 1670.7777777777778, 0.39960332301843315
