dataset, time(ms), energy(J)
bank, 506.78333333333336, 0.12561438897717872
bitcoin, 498.27868852459017, 0.12384320721736965
brent_spot, 336.8222222222222, 0.0837856310785851
businv, 124.35537190082644, 0.031013381827577645
centralia, 0.9283636588686719, 0.0002245439370603781
children_per_woman, 103.8719723183391, 0.025852335212560428
co2_canada, 70.95271867612293, 0.017696210359700287
construction, 156.06735751295338, 0.03891555746311893
debt_ireland, 1.273483594380067, 0.0003086602322950295
gdp_argentina, 14.474191992281717, 0.0036002822645614684
gdp_croatia, 1.4351112174121023, 0.00034751829646881803
gdp_iran, 22.54695717505635, 0.005616027016575628
gdp_japan, 13.44489247311828, 0.003340888611420446
global_co2, 35.53609467455621, 0.008813787056131363
homeruns, 43.574746008708274, 0.010866464693497216
iceland_tourism, 112.42696629213484, 0.02795091962565564
jfk_passengers, 492.0163934426229, 0.12137955540825607
lga_passengers, 295.54901960784315, 0.07346530261911861
measles, 445.88235294117646, 0.11115708431084084
nile, 55.65555555555556, 0.013874514181710158
ozone, 28.250470809792844, 0.007043210814020374
quality_control_1, 264.9824561403509, 0.06579706438485737
quality_control_2, 373.4938271604938, 0.09221770184558338
quality_control_3, 571.1698113207547, 0.14041697574370351
quality_control_4, 438.5507246376812, 0.10875836647754779
quality_control_5, 533.1754385964912, 0.13088377223876754
rail_lines, 12.446287847366238, 0.003106225067061298
ratner_stock, 273.3454545454546, 0.06816308827159762
robocalls, 15.464948453608248, 0.003850309745522475
scanline_126007, 242.15322580645162, 0.060377391840224774
scanline_42049, 298.96039603960395, 0.07430859603127879
seatbelts, 126.72995780590718, 0.031497462070357085
shanghai_license, 122.82448979591837, 0.03053377548241969
uk_coal_employ, 104.21875, 0.025995956779676515
unemployment_nl, 135.1936936936937, 0.033606527003245436
us_population, 274.04545454545456, 0.06832744879244888
usd_isk, 168.40782122905028, 0.04175743144942762
well_log, 1219.84, 0.29838654533306225
