dataset_name,algorithm_name,combined_score,f1_score,cover_score,batch_size,max_dist_size,new_dist_buffer_size,threshold_ratio,version,execution_time_s
global_co2,WATCH_Stage1,1.6771949103528052,0.9285714285714286,0.7486234817813765,5,80,48,2.5,6.0,0.0018458366394042969
global_co2,WATCH_Stage3,1.6771949103528052,0.9285714285714286,0.7486234817813765,5,96,64,1.7,6.0,0.0008218288421630859
global_co2,WATCH_Stage3_List,1.637706997863248,0.888888888888889,0.748818108974359,3,16,96,0.1,6.0,0.0006356239318847656
global_co2,WATCH_Origin,1.604474852071006,0.8461538461538461,0.7583210059171598,3,0,8,3.0,,0.3868081569671631
children_per_woman,WATCH_Stage1,1.6607754759435993,0.8095238095238095,0.8512516664197897,3,48,112,3.0,6.0,0.0013246536254882812
children_per_woman,WATCH_Stage3,1.6607754759435993,0.8095238095238095,0.8512516664197897,3,112,10,3.0,6.0,0.008927106857299805
children_per_woman,WATCH_Stage3_List,1.1719900543834776,0.48407643312101906,0.6879136212624586,5,8,96,0.1,6.0,0.0022614002227783203
children_per_woman,WATCH_Origin,1.5169422818644827,0.7045871559633028,0.8123551259011798,3,0,3,2.0,,0.8948712348937988
lga_passengers,WATCH_Stage1,1.4516589559170128,0.8372093023255814,0.6144496535914314,3,96,32,1.9,6.0,0.02921271324157715
lga_passengers,WATCH_Stage3,1.4516589559170128,0.8372093023255814,0.6144496535914314,3,96,32,2.0,6.0,0.022312164306640625
lga_passengers,WATCH_Stage3_List,1.247404844191417,0.6477272727272728,0.5996775714641441,3,8,128,0.1,6.0,0.0033135414123535156
lga_passengers,WATCH_Origin,1.2825893506023918,0.7293196279980422,0.5532697226043497,3,75,8,3.0,,0.5910418033599854
usd_isk,WATCH_Stage1,1.653623919788243,0.7854251012145749,0.8681988185736682,10,8,112,0.1,6.0,0.0006382465362548828
usd_isk,WATCH_Stage3,1.653623919788243,0.7854251012145749,0.8681988185736682,10,8,112,0.1,6.0,0.0004658699035644531
usd_isk,WATCH_Stage3_List,1.4385972956755517,0.6565143824027072,0.7820829132728446,5,128,112,0.1,6.0,0.0019826889038085938
usd_isk,WATCH_Origin,1.3348370461751602,0.6447300771208226,0.6901069690543375,7,0,8,1.0,,0.20530486106872559
robocalls,WATCH_Stage1,1.7423076923076923,1.0,0.7423076923076922,3,16,3,3.0,6.0,0.0011348724365234375
robocalls,WATCH_Stage3,1.7423076923076923,1.0,0.7423076923076922,3,32,3,3.0,6.0,0.0007257461547851562
robocalls,WATCH_Stage3_List,1.4679881656804734,0.8,0.6679881656804734,10,16,32,0.1,6.0,0.0002446174621582031
robocalls,WATCH_Origin,1.7415856174476865,0.9655172413793104,0.7760683760683762,3,25,8,3.5,,0.050847530364990234
