dataset,f1,cover
bank,1.0,1.0
bitcoin,0.44961240310077516,0.5162283249537621
brent_spot,0.5436893203883495,0.5437726357096142
businv,0.5882352941176471,0.46094765840220386
centralia,0.7628865979381444,0.6746666666666667
children_per_woman,0.8258064516129033,0.8138785501960882
co2_canada,0.7861271676300579,0.6890502209970573
construction,0.5161290322580646,0.803247588052556
debt_ireland,0.8549618320610687,0.5141969141969142
gdp_argentina,0.8235294117647058,0.737087043952887
gdp_croatia,0.8235294117647058,0.7083333333333333
gdp_iran,0.651685393258427,0.582639714625446
gdp_japan,0.888888888888889,0.802140309155767
global_co2,0.8461538461538461,0.7583210059171598
homeruns,0.7622950819672132,0.6502603754324732
iceland_tourism,0.9473684210526316,0.9460215651119921
jfk_passengers,0.723404255319149,0.6298433048433048
lga_passengers,0.6710963455149502,0.4696028543668674
measles,0.9473684210526316,0.9511852891971232
nile,0.8235294117647058,0.75808
ozone,0.9655172413793104,0.8282247765006385
quality_control_1,1.0,0.9797607548852069
quality_control_2,0.9473684210526316,0.9077664124976753
quality_control_3,1.0,0.9848202473396606
quality_control_4,0.7804878048780489,0.6727407999999999
quality_control_5,1.0,1.0
rail_lines,0.5365853658536586,0.4281957633308984
ratner_stock,0.9285714285714286,0.9103350823045269
robocalls,0.6363636363636364,0.6005917159763314
scanline_126007,0.857615894039735,0.6951384751875098
scanline_42049,0.7184466019417475,0.6981029260725717
seatbelts,0.8235294117647058,0.5995395151674466
shanghai_license,0.7304347826086957,0.6876110877488085
uk_coal_employ,0.5132743362831859,0.35648072562358274
unemployment_nl,0.9130434782608696,0.631365595795654
us_population,0.888888888888889,0.8033761053440983
usd_isk,0.48866498740554154,0.43629300594994175
well_log,0.4238178633975482,0.4645682435082744
