dataset,f1,cover
bank,0.2222222222222222,0.22375215146299485
bitcoin,0.3548117154811716,0.27215383720267194
brent_spot,0.4749708963911525,0.4895780063912662
businv,0.17543859649122806,0.3143123543123543
centralia,0.7628865979381444,0.6746666666666667
children_per_woman,0.5078909612625538,0.31867754709599716
co2_canada,0.5619834710743802,0.5015580672110767
construction,0.5735294117647058,0.321687596800015
debt_ireland,0.4693877551020408,0.32063492063492066
gdp_argentina,0.888888888888889,0.6011255397579185
gdp_croatia,0.8235294117647058,0.7083333333333333
gdp_iran,0.4915254237288136,0.4665036212301373
gdp_japan,1.0,0.7203065134099618
global_co2,0.7536231884057971,0.6040654031958379
homeruns,0.5821596244131455,0.5198972540831412
iceland_tourism,0.6666666666666666,0.36192728347620456
jfk_passengers,0.43678160919540227,0.4752285422980287
lga_passengers,0.2831215970961888,0.4180723856603043
measles,0.07964601769911504,0.08496468213925328
nile,0.5833333333333333,0.7047317073170731
ozone,0.53125,0.5386831275720165
quality_control_1,0.28571428571428575,0.610223642172524
quality_control_2,0.5454545454545455,0.8454252902574456
quality_control_3,0.5,0.9051482621841279
quality_control_4,0.40236686390532544,0.39638791393215966
quality_control_5,0.6666666666666666,0.7630769230769231
rail_lines,0.5365853658536586,0.4281957633308984
ratner_stock,0.328125,0.23635714285714285
robocalls,0.8,0.665533656626774
scanline_126007,0.4215656411818459,0.2600508412520662
scanline_42049,0.31338962605548853,0.5956222369044829
seatbelts,0.32142857142857145,0.640605603886854
shanghai_license,0.5588235294117647,0.5277334919690662
uk_coal_employ,0.5132743362831859,0.35648072562358274
unemployment_nl,0.6071428571428571,0.411865097698535
us_population,0.08602150537634409,0.06519607843137255
usd_isk,0.6613466334164588,0.6385650197432844
well_log,0.19160728424386383,0.63663766770224
