dataset f1,cover
apple,0.5333333333333333,0.6445690019937947
bank,1.0,1.0
bee_waggle_6,0.9285714285714287,0.8911284212456287
bitcoin,0.6729141475211609,0.6898324537812449
brent_spot,0.5207667731629393,0.6104973840363277
businv,0.5882352941176471,0.46094765840220386
centralia,0.9090909090909091,0.5635978835978837
children_per_woman,0.6175115207373272,0.7938212009317824
co2_canada,0.8925510876730389,0.7494337935369184
construction,0.6956521739130436,0.5746032369964917
debt_ireland,0.9795918367346939,0.610978835978836
gdp_argentina,0.9473684210526316,0.6348915375086861
gdp_croatia,0.8,0.5333333333333333
gdp_iran,0.7340823970037452,0.402115987460815
gdp_japan,0.888888888888889,0.802140309155767
global_co2,0.8461538461538461,0.7583210059171598
homeruns,0.8118811881188119,0.6938028443405415
iceland_tourism,0.9473684210526316,0.9460215651119921
jfk_passengers,0.7755102040816326,0.8369225621126587
lga_passengers,0.5260663507109005,0.5362034472385672
measles,0.9473684210526316,0.9511852891971232
nile,1.0,0.8800821917808218
occupancy,0.8447384742609055,0.6254984719763181
ozone,0.6666666666666666,0.3333333333333333
quality_control_1,1.0,0.9961856952610209
quality_control_2,1.0,0.9272274782476536
quality_control_3,1.0,0.9967303392229183
quality_control_4,0.7804878048780489,0.6727407999999999
quality_control_5,1.0,1.0
rail_lines,0.8,0.4495495495495495
ratner_stock,0.8235294117647058,0.9122205146473155
robocalls,0.9655172413793104,0.7115384615384616
run_log,0.26046511627906976,0.528122596917058
scanline_126007,0.8791208791208792,0.5072150032531263
scanline_42049,0.9622641509433963,0.8959208306848133
seatbelts,0.6829268292682926,0.8000747772334353
shanghai_license,0.7131782945736433,0.6626558265582656
uk_coal_employ,0.7857142857142858,0.3
unemployment_nl,0.6970684039087948,0.6425412931707328
us_population,0.888888888888889,0.8033761053440983
usd_isk,0.7854251012145749,0.8577019651513579
well_log,0.7564230233021312,0.8085845057994765
