dataset,f1,cover
apple,0.9285714285714287,0.800729756559285
bank,1.0,1.0
bee_waggle_6,0.9285714285714287,0.8911284212456287
bitcoin,0.8200589970501475,0.7597258813759888
brent_spot,0.6618962432915921,0.6518732326863532
businv,0.5588235294117647,0.7381588928309697
centralia,0.9090909090909091,0.7533333333333333
children_per_woman,0.6368286445012787,0.7474256497391718
co2_canada,0.7729230769230769,0.6240296737462264
construction,1.0,0.7304317832257745
debt_ireland,0.9583333333333333,0.8322751322751323
gdp_argentina,0.888888888888889,0.7202762084118015
gdp_croatia,1.0,0.8016666666666665
gdp_iran,0.8679245283018867,0.7296851574212894
gdp_japan,1.0,0.7310344827586206
global_co2,0.9285714285714286,0.7486234817813765
homeruns,0.8470588235294118,0.6718166014776185
iceland_tourism,0.8,0.6609805785685182
jfk_passengers,0.7755102040816326,0.8392664497512488
lga_passengers,0.853868194842407,0.6030774999645081
measles,0.6428571428571429,0.909905577985775
nile,1.0,0.8879999999999999
occupancy,0.6911187063204612,0.5516554888282486
ozone,0.9655172413793104,0.8518518518518519
quality_control_1,0.6666666666666666,0.5031081260398699
quality_control_2,0.7500000000000001,0.6382524441558766
quality_control_3,0.6666666666666666,0.5002717310161545
quality_control_4,0.9090909090909091,0.5424813603988604
quality_control_5,1.0,1.0
rail_lines,0.9655172413793104,0.8018894460070932
ratner_stock,0.832,0.8510010582010581
robocalls,0.9655172413793104,0.7713151200560211
run_log,0.6291390728476822,0.5132306007509386
scanline_126007,0.8852988691437803,0.5091825937235693
scanline_42049,0.8308321964529332,0.8041788847862076
seatbelts,0.9743589743589743,0.869806090015857
shanghai_license,0.7777777777777778,0.6970537332959535
uk_coal_employ,0.5132743362831859,0.35648072562358274
unemployment_nl,0.7894736842105262,0.5004240214651154
us_population,0.5,0.28602941176470587
usd_isk,0.8483685220729367,0.8363742756692638
well_log,0.5101229895931882,0.6806491189492129
