dataset, time(ms), energy(J)
apple,103988.038,308.0154801359004
bank,93419.011,283.7783285797021
bee_waggle_6,101796.463,301.479781590327
bitcoin,124586.893,369.0695781869359
brent_spot,58492.027,173.4394474574987
businv,36688.907,108.68041307663607
centralia,268.6304,0.791617231868707
children_per_woman,32996.740999999995,97.97399972161165
co2_canada,22000.004999999997,65.30313160645855
construction,35327.076,104.91161292569959
debt_ireland,439.255652173913,1.2982339884211282
gdp_argentina,2086.3630000000003,6.1706341536610125
gdp_croatia,532.9344736842105,1.5735449516696942
gdp_iran,2028.477,6.024996284184089
gdp_japan,2029.584,6.121199045927279
global_co2,7837.0070000000005,23.134602119516057
homeruns,9617.821,28.577987132106863
iceland_tourism,19934.671,59.19763850789241
jfk_passengers,54478.355,161.70259669125372
lga_passengers,54461.534,161.8714032158041
measles,161901.566,480.9545072729652
nile,7353.865,21.938936067473332
occupancy,83969.275,249.25978230202273
ozone,1821.0818181818183,5.368960646673341
quality_control_1,34545.911,102.53370917188985
quality_control_2,30694.048,91.00536305563364
quality_control_3,41517.376000000004,124.03592745421375
quality_control_4,58561.05500000001,173.8684732251946
quality_control_5,36097.646,107.09371343831954
rail_lines,1018.2375,2.999820226218799
ratner_stock,94888.458,281.7909933404815
robocalls,1718.92,5.086132234713053
run_log,44996.034999999996,133.3538191892847
scanline_126007,56007.89599999999,166.16716239619782
scanline_42049,56099.36,166.60765388042563
seatbelts,19081.426,56.44907565953035
shanghai_license,20710.127,61.59694317334579
uk_coal_employ,7922.38,23.585008572917285
unemployment_nl,21920.954,64.98225039567623
us_population,132061.249,392.01183447026705
usd_isk,26135.249,77.56152507970691
well_log,107901.8,320.28825857646154
