dataset, time(ms), energy(J)
bank,15.515852713178296,0.04502988731669926
bitcoin,16.51655656482246,0.04956169733787595
brent_spot,11.058861249309011,0.03226328984056361
businv,4.8217671166827385,0.01404370628163015
centralia,0.04641627444973589,0.0001381178613083462
children_per_woman,4.091790098199672,0.011980123769741328
co2_canada,2.8033552908199018,0.00835197597031582
construction,5.72920653107992,0.016985575397057678
debt_ireland,0.06318489125901963,0.00018932626747097345
gdp_argentina,0.5898316031614957,0.0017383125652621735
gdp_croatia,0.07249858628039497,0.0002182560768019357
gdp_iran,0.8353986884424209,0.0024612485211588896
gdp_japan,0.5529210439013601,0.0016839310522730046
global_co2,1.3478340858548419,0.003980879025779327
homeruns,1.723861403206344,0.005087860813816872
iceland_tourism,3.9278652788688135,0.011614673035823815
jfk_passengers,13.549823967501693,0.040416751878233
lga_passengers,9.712796116504855,0.0287611027561443
measles,16.559155629139074,0.050530079705130286
nile,1.9747230723664726,0.005845411065719603
ozone,0.9975331670822943,0.002953881886039636
quality_control_1,8.161615667074663,0.024269877674913145
quality_control_2,9.997451274362819,0.029936753157323057
quality_control_3,14.164709631728044,0.04252859175089123
quality_control_4,13.289455149501661,0.04077624409642415
quality_control_5,12.730127226463104,0.03831674083079825
rail_lines,0.49096398851167244,0.0014534114089011561
ratner_stock,10.07045294413689,0.029809218519703924
robocalls,0.6054324201604359,0.0017929248593032355
scanline_126007,8.766472392638036,0.026423653465716047
scanline_42049,9.84195277914412,0.02952644225805672
seatbelts,4.108633935907971,0.012205569513129507
shanghai_license,4.1917518860016765,0.01243991373468339
uk_coal_employ,3.2585206907787554,0.009711599530893789
unemployment_nl,4.557534745955799,0.013526582470742633
us_population,11.036723662437948,0.033664980916561886
usd_isk,5.187754149377593,0.015435651316271384
well_log,28.250254237288136,0.08513526769312414
